player,PA_TBF,team,draft_year
Danny Coulombe,13,s_miller,2020
Ryan Cordell,8,s_miller,2020
Jose Marmolejos,115,s_miller,2020
Tyler Heineman,53,s_miller,2020
Ryan Merritt,0,s_miller,2020
Jose Mujica,23,b_lindbergh,2020
Alexander Guillen,0,b_lindbergh,2020
Brady Lail,71,b_lindbergh,2020
Max Moroff,0,b_lindbergh,2020
Gosuke Katoh,0,b_lindbergh,2020
Jaime Schultz,0,b_lindbergh,2020
Kohl Stewart,0,b_lindbergh,2020
Eric Stamets,0,b_lindbergh,2020
Mickey Jannis,0,b_lindbergh,2020
Rosell Herrera,0,b_lindbergh,2020
Mike Foltynewicz,586,b_lindbergh,2021
Sam McWilliams,0,b_lindbergh,2021
Pedro Strop,10,b_lindbergh,2021
Dwight Smith Jr.,0,b_lindbergh,2021
Luis Avilan,0,b_lindbergh,2021
Nabil Crismatt,351,b_lindbergh,2021
Alexander Guillen,0,b_lindbergh,2021
Scott Schebler,34,b_lindbergh,2021
Rafael Ortega,330,b_lindbergh,2021
Tzu-Wei Lin,0,b_lindbergh,2021
Jason Vosler,82,m_rowley,2021
Sam Clay,214,m_rowley,2021
Joe Gatto,0,m_rowley,2021
Tyler Heineman,0,m_rowley,2021
Michael Ynoa,0,m_rowley,2021
Anthony Gose,24,m_rowley,2021
Connor Joe,211,m_rowley,2021
Michael Hermosillo,38,m_rowley,2021
Gerson Bautista,0,m_rowley,2021
Yunior Marte,0,m_rowley,2021
José Iglesias,467,b_clemens,2022
Maikel Franco,388,b_clemens,2022
Shed Long Jr.,0,b_clemens,2022
Ty Blach,193,b_clemens,2022
Anthony Bemboom,59,b_clemens,2022
Kyle McGowin,0,b_clemens,2022
Zack Erwin,0,b_clemens,2022
Jon Duplantier,0,b_clemens,2022
Christian Bethancourt,352,b_clemens,2022
Richard Urena,0,b_clemens,2022
Brett Sullivan,0,m_rowley,2022
Nick Plummer,31,m_rowley,2022
Christin Stewart,0,m_rowley,2022
Jhonny Pereda,0,m_rowley,2022
Dalton Kelly,0,m_rowley,2022
Jake Newberry,0,m_rowley,2022
Ryan Castellani,11,m_rowley,2022
Dillon Thomas,14,m_rowley,2022
Hobie Harris,0,m_rowley,2022
Jeison Guzman,0,m_rowley,2022
Joshua Fuentes,0,b_lindbergh,2022
Mark Leiter Jr.,282,b_lindbergh,2022
Matt Shoemaker,0,b_lindbergh,2022
Magneuris Sierra,96,b_lindbergh,2022
Johneshwy Fargas,0,b_lindbergh,2022
Jake Bauers,0,b_lindbergh,2022
Yolmer Sánchez,50,b_lindbergh,2022
Alex Blandino,0,b_lindbergh,2022
Tyler White,0,b_lindbergh,2022
Braden Bishop,0,b_lindbergh,2022
Blake Perkins,168,m_rowley,2023
Casey Sadler,0,m_rowley,2023
Cole Tucker,10,m_rowley,2023
Hobie Harris,91,m_rowley,2023
Brent Honeywell,235,m_rowley,2023
Cody Poteet,0,m_rowley,2023
Daniel Zamora,0,m_rowley,2023
Garrett Williams,0,m_rowley,2023
Jacob Nottingham,0,m_rowley,2023
Trenton Brooks,0,m_rowley,2023
Guillermo Zuniga,0,b_lindbergh,2023
Angel Perdomo,117,b_lindbergh,2023
Victor Reyes,0,b_lindbergh,2023
Oscar Mercado,0,b_lindbergh,2023
Jakson Reetz,0,b_lindbergh,2023
Travis Blankenhorn,37,b_lindbergh,2023
Pablo Reyes,198,b_lindbergh,2023
Jonathan Villar,0,b_lindbergh,2023
Jose De Leon,0,b_lindbergh,2023
Joe Rizzo,0,b_lindbergh,2023
Justin Garza,91,b_clemens,2023
Franmil Reyes,65,b_clemens,2023
Jake Marisnick,83,b_clemens,2023
James Norwood,0,b_clemens,2023
Christin Stewart,0,b_clemens,2023
Stephen Piscotty,0,b_clemens,2023
Derek Hill,50,b_clemens,2023
Caleb Baragar,0,b_clemens,2023
Daniel Ponce de Leon,0,b_clemens,2023
Zach Muckenhirn,31,b_clemens,2023
Ali Sanchez,96,b_lindbergh,2024
Ben Lively,632,b_lindbergh,2024
Armando Alvarez,39,b_lindbergh,2024
Rafael Lantigua,0,b_lindbergh,2024
Jake Cousins,155,b_lindbergh,2024
Yanathan Perlaza,0,b_lindbergh,2024
Andres Chaparro,132,b_lindbergh,2024
Jake Lamb,0,b_lindbergh,2024
Luis Contreras,26,b_lindbergh,2024
Tim Locastro,0,b_lindbergh,2024
Joe Ross,321,b_clemens,2024
