IDfg,Season,Age,G,PA
29695,2023,23,89,403
17982,2021,26,152,650
11615,2022,29,138,568
17919,2023,28,158,691
18577,2023,26,124,525
9874,2022,33,125,541
13510,2020,27,58,254
13145,2019,26,143,613
10324,2023,32,144,592
10681,2019,27,132,476
15274,2019,28,87,296
13499,2019,28,76,281
15429,2021,29,144,586
14161,2019,25,87,295
15986,2021,25,140,555
7927,2019,33,110,442
13621,2023,29,140,576
14344,2022,28,162,699
19290,2023,28,151,654
21454,2023,25,117,503
16939,2023,27,157,682
13853,2021,31,136,501
15491,2021,26,160,687
15518,2022,26,153,670
13723,2021,31,112,427
17620,2021,26,158,638
18577,2022,25,136,560
5361,2020,30,60,262
19709,2019,20,84,372
9929,2021,34,117,312
4949,2021,31,139,579
30116,2023,28,138,583
13419,2019,28,152,603
9218,2019,31,161,682
14894,2021,29,131,397
18030,2021,27,103,401
19287,2022,29,156,657
16505,2023,30,140,581
17992,2019,25,154,653
26121,2023,21,123,423
15676,2020,33,60,262
10155,2023,31,82,362
19566,2022,26,157,645
19251,2023,28,154,658
12144,2023,30,130,491
13066,2022,29,131,535
19290,2022,27,153,645
18882,2023,28,109,436
10059,2021,30,87,319
11445,2021,32,141,625
15112,2022,27,153,597
16426,2022,26,140,541
19470,2021,26,159,691
14128,2019,25,70,297
16252,2020,27,59,259
13611,2020,27,55,246
11899,2019,27,149,514
27534,2023,24,109,408
15676,2021,34,152,659
11609,2023,31,125,495
19326,2022,27,145,614
18568,2022,25,144,603
16997,2022,25,140,572
13338,2021,29,123,445
11038,2023,33,129,408
15518,2021,25,141,588
11038,2021,31,122,390
21636,2023,25,150,634
17273,2022,27,150,533
4229,2019,35,121,370
11493,2020,27,60,254
16478,2021,28,113,471
12164,2019,26,105,439
6184,2021,33,148,634
7304,2021,31,161,665
16535,2022,27,72,248
4892,2019,30,143,584
18839,2023,26,121,495
29766,2023,23,69,300
6153,2019,30,158,699
18289,2019,26,126,520
11615,2023,30,125,523
22244,2023,24,144,534
13757,2021,30,148,582
11609,2021,29,128,483
9777,2023,32,144,612
24679,2022,25,126,468
19955,2022,24,129,471
12092,2019,27,112,472
19287,2021,28,149,622
27478,2023,24,97,353
10324,2020,29,60,267
12856,2021,31,78,342
11579,2022,29,99,426
20454,2022,24,60,241
3473,2022,32,130,548
15464,2021,29,144,572
13301,2023,32,135,579
14551,2023,28,153,656
19252,2019,24,100,430
21454,2022,24,108,347
12532,2021,30,116,492
26299,2023,25,122,515
5254,2021,31,156,671
11445,2022,33,140,542
10681,2022,30,144,551
17452,2023,27,101,364
15223,2019,27,152,608
19734,2022,28,125,510
18795,2022,28,118,445
13769,2019,23,102,443
11281,2021,32,162,720
16930,2022,27,127,450
20123,2020,21,47,196
10155,2020,28,53,241
12861,2020,30,52,232
16219,2019,26,140,453
10322,2019,28,130,511
14854,2019,28,107,411
24617,2023,26,102,362
19354,2023,28,118,406
11493,2019,26,156,661
3142,2019,35,114,437
9785,2019,31,106,443
6153,2021,32,146,599
15112,2021,26,151,596
19566,2023,27,161,724
17982,2022,27,140,613
19363,2023,27,144,566
17338,2023,26,124,409
18564,2021,24,132,527
12564,2022,29,94,396
4579,2019,29,162,676
19452,2023,28,107,365
10815,2022,29,152,658
15362,2023,31,156,648
11038,2019,29,129,480
8090,2022,36,47,154
