IDfg,Season,Age,G,PA,TBF
117,1995,30,117,462,
364,1997,33,151,696,
1393,1993,26,137,527,
1007905,1993,29,117,451,
1009433,1996,29,116,489,
1006931,1997,32,155,647,
1391,1996,30,149,616,
1001168,1995,32,141,614,
1005166,1993,33,122,534,
84,1996,28,160,673,
1406,1993,33,115,486,
261,1997,30,150,619,
1032,1996,31,122,500,
327,1995,25,72,314,
1001772,1994,37,111,496,
1013886,1996,29,136,486,
1004422,1995,36,137,578,
857,1994,25,108,475,
1393,1995,28,132,545,
1005935,1994,29,99,406,
1266,1997,32,158,692,
1129,1994,26,107,447,
1010300,1996,37,153,719,
1005272,1993,28,135,573,
1013333,1993,32,135,500,
1001124,1993,35,143,644,
210,1995,23,137,571,
1390,1996,35,159,691,
1003041,1995,35,119,522,
131,1995,29,133,562,
1002318,1997,33,110,450,
411,1996,29,151,623,
1013862,1996,33,146,611,
1008091,1993,27,130,486,
1390,1997,36,154,674,
1007590,1993,29,95,305,
87,1994,35,112,505,
1009818,1995,32,127,543,
1010557,1994,34,108,482,
1093,1994,25,108,453,
1012416,1995,32,118,470,
1391,1993,27,143,640,
1001124,1996,38,132,574,
942,1995,32,111,432,
1006482,1995,31,142,645,
385,1997,28,154,657,
523,1995,23,97,371,
1011411,1996,36,150,621,
1013404,1995,24,124,538,
1004002,1993,31,142,594,
83,1997,27,153,586,
1001918,1996,31,96,432,
1003041,1994,34,108,468,
84,1997,29,159,668,
1001638,1997,32,157,665,
1001168,1994,31,108,460,
182,1997,25,159,681,
482,1996,27,154,652,
1086,1994,31,89,387,
1018,1997,28,97,362,
1275,1994,22,99,405,
1005166,1996,36,116,498,
117,1996,31,143,590,
1001088,1993,28,127,429,
854,1994,26,109,474,
261,1993,26,136,535,
117,1997,32,147,595,
635,1997,26,138,554,
364,1994,30,111,525,
1275,1995,23,130,517,
546,1995,26,103,369,
1006700,1993,29,128,453,
1009004,1993,31,93,353,
1002318,1994,30,110,469,
1000434,1996,37,143,572,
87,1996,37,112,499,
1012829,1993,30,138,611,
1012356,1996,28,159,670,
364,1995,31,143,657,
1008261,1993,32,134,596,
97,1995,23,140,602,
364,1993,29,142,664,
1000801,1997,28,129,547,
1002099,1993,23,149,569,
1002600,1993,25,156,597,
275,1995,26,127,493,
226,1997,27,154,619,
1009818,1997,34,149,637,
1233,1996,30,145,609,
1000900,1996,31,153,643,
1000946,1993,29,141,581,
1004822,1994,28,84,334,
293,1996,32,159,691,
1004706,1995,28,121,531,
1006637,1993,31,141,573,
1003719,1995,36,129,423,
11,1997,23,139,605,
716,1996,29,141,643,
1393,1996,29,120,507,
1375,1996,29,131,606,
1119,1995,27,125,514,
1006637,1996,34,121,510,
194,1994,35,87,376,
716,1997,30,155,718,
2,1997,25,154,662,
1004427,1993,31,159,581,
1006336,1995,29,88,357,
1001918,1994,29,111,505,
1003719,1996,37,113,373,
284,1995,26,90,326,
2,1995,23,106,400,
1013886,1994,27,92,374,
1006296,1994,31,104,403,
1129,1996,28,81,334,
1119,1994,26,107,452,
1006931,1995,30,122,509,
295,1997,26,128,453,
55,1996,28,146,555,
372,1993,28,146,574,
1001525,1994,28,101,388,
1012473,1995,33,114,440,
1007590,1997,33,121,456,
