key_fangraphs,internal_id,Season,Age,G,pa_tbf,PA,TBF
12384,493,2019,29,11,30,30,0
16279,5072,2021,28,58,214,2,214
7677,4333,2017,28,29,153,1,153
16953,977,2020,25,24,64,64,0
9646,726,2022,33,1,5,0,5
15450,1344,2018,25,18,47,47,0
16686,2619,2024,30,10,30,30,0
25379,5084,2024,28,43,176,0,176
19274,2414,2023,29,54,232,0,232
14099,957,2016,24,7,154,9,154
11712,1907,2018,29,31,155,0,155
23592,696,2024,26,13,52,0,52
10185,2412,2017,26,18,170,8,170
3237,5352,2023,34,3,11,0,11
19314,1625,2024,30,9,25,25,5
1330,4583,2017,30,1,2,0,2
13408,5830,2022,31,12,42,42,0
11686,3225,2019,28,9,69,0,69
14962,4939,2019,26,5,51,1,51
5124,5762,2019,35,2,7,7,0
18353,1502,2024,27,66,186,186,0
10218,27,2021,31,5,34,0,34
14151,1058,2022,32,2,35,0,35
10265,3379,2016,28,4,42,0,42
3642,3548,2015,31,1,10,0,10
3209,3330,2016,30,6,15,15,0
7226,3936,2020,29,22,47,47,15
8380,4758,2014,28,37,91,91,0
11596,1513,2017,28,6,56,3,56
4994,1979,2023,37,6,32,0,32
19345,1437,2024,28,6,73,0,73
9856,647,2016,29,37,47,47,0
1136,910,2014,26,4,8,8,0
17002,5552,2021,30,2,14,0,14
4177,2267,2016,32,24,45,45,0
19957,550,2023,26,16,36,36,0
8728,1621,2015,29,1,13,1,13
7290,2452,2016,29,59,99,99,0
18555,3656,2024,27,12,128,0,128
9894,4179,2015,28,21,77,0,77
5231,5702,2016,29,2,13,1,13
12179,3816,2022,29,103,388,388,0
18433,4514,2022,29,74,229,229,0
10642,896,2023,32,68,189,189,10
4070,4603,2021,36,2,10,0,10
8410,1533,2015,26,10,74,1,74
25379,5085,2021,25,12,176,11,176
21018,2028,2023,25,17,74,0,74
9456,4975,2016,29,67,247,0,247
15808,3129,2021,26,16,40,40,0
3551,1141,2015,31,23,181,15,181
7074,5546,2014,27,2,9,0,9
2833,944,2016,28,13,36,36,0
13897,5611,2020,29,15,50,50,3
5751,2270,2016,25,123,430,430,0
13801,453,2024,33,56,191,0,191
13331,5782,2017,26,1,5,0,5
12831,3990,2016,25,12,84,0,84
5995,3487,2014,32,13,51,51,0
15256,1182,2024,34,10,66,0,66
15551,3884,2022,31,35,282,0,282
17837,2496,2024,28,6,15,15,0
16593,3497,2023,26,3,8,8,0
10636,3811,2016,25,8,37,0,37
10028,1090,2022,30,101,333,333,19
18848,5893,2021,24,21,77,77,0
19358,5750,2023,28,8,22,22,0
18510,3248,2024,29,6,50,0,50
20962,1824,2023,25,1,10,0,10
22092,3587,2024,27,8,142,0,142
3164,5422,2018,28,38,99,0,99
20399,3749,2021,24,6,56,1,56
13658,5393,2022,31,10,8,8,0
6832,5076,2020,33,7,25,0,25
3812,2182,2014,29,37,100,100,0
13012,2925,2018,28,26,67,67,0
5107,2682,2015,24,33,90,90,0
11346,5200,2021,32,4,74,4,74
13707,2894,2021,28,6,34,0,34
16466,672,2023,28,40,234,0,234
20023,4816,2023,29,10,60,0,60
6605,4562,2014,25,14,74,0,74
23135,1766,2024,26,26,133,0,133
3812,2181,2018,33,26,67,67,0
4142,2991,2014,29,23,45,45,0
14196,304,2021,26,28,68,68,0
14973,5945,2019,25,8,16,16,0
12977,4119,2023,30,3,8,8,0
14387,2221,2019,24,119,446,446,0
13472,1100,2022,29,4,10,10,0
12268,4989,2019,31,12,25,25,0
5311,967,2017,32,12,15,15,0
14932,504,2024,32,29,632,0,632
15091,2296,2021,27,5,19,0,19
629,618,2018,32,19,21,21,0
7226,4031,2022,31,13,37,37,0
10029,4567,2016,25,11,54,0,54
13658,5392,2020,29,2,0,0,0
8037,4572,2016,28,18,314,23,314
2010,802,2015,37,11,32,0,32
13228,4126,2018,25,7,7,7,0
10078,831,2020,33,17,82,0,82
12394,2601,2022,33,3,10,10,0
13420,3957,2022,31,4,19,0,19
12119,4002,2019,29,27,80,80,0
14366,2896,2022,30,56,240,240,0
12178,1608,2023,31,15,75,0,75
22192,2212,2024,25,25,107,0,107
7290,2450,2015,28,51,158,158,6
6336,5000,2014,28,6,36,0,36
8461,4079,2017,30,16,136,0,136
10619,1453,2017,28,6,17,17,0
19736,819,2024,30,2,20,0,20
9794,4769,2020,32,3,15,0,15
5224,545,2016,31,17,79,0,79
8879,5017,2017,29,6,13,13,0
9629,5245,2014,26,11,16,16,0
14361,5581,2022,31,24,193,0,193
11905,4483,2017,25,29,55,55,0
15036,996,2022,28,42,293,0,293
6178,5495,2017,29,1,1,1,0
19281,4382,2024,29,5,34,0,34
19178,5485,2024,33,20,93,0,93
11155,1815,2020,30,3,7,7,0
8007,2593,2015,27,10,39,0,39
1333,1274,2016,29,2,6,0,6
14681,267,2021,28,40,154,0,154
13325,1563,2019,28,5,5,5,0
17793,5573,2024,30,7,42,0,42
15915,5681,2022,27,43,187,0,187
6371,2257,2014,27,2,11,0,11
3950,3969,2018,28,40,249,1,249
14663,1013,2019,27,14,278,24,278
12606,4672,2017,29,24,63,63,0
12791,4102,2022,29,4,16,0,16
5744,3112,2015,25,1,15,0,15
9419,5935,2021,33,4,13,0,13
1902,1441,2015,33,33,129,1,129
9433,1679,2019,31,35,101,101,0
7937,3673,2016,29,26,74,74,0
8410,1532,2019,30,1,6,0,6
10655,4829,2017,27,14,36,36,4
15994,3420,2021,26,32,66,66,0
7175,3024,2018,33,50,145,0,145
6262,5476,2015,28,14,45,45,0
18554,1856,2023,26,2,34,0,34
10819,4954,2019,28,12,71,1,71
13528,3921,2023,32,3,20,0,20
6475,3483,2018,33,21,77,0,77
13616,5370,2019,26,20,123,0,123
8623,1624,2019,31,81,228,228,0
9417,3535,2018,32,1,25,1,25
6955,5889,2015,31,7,82,0,82
8848,227,2014,26,8,7,7,0
3599,732,2019,33,6,41,0,41
8272,4018,2016,30,3,3,3,0
5503,1227,2018,29,14,19,19,0
11470,5502,2022,30,2,4,4,0
15126,5600,2022,27,32,173,0,173
27517,2547,2024,30,55,265,0,265
7119,1676,2016,26,1,11,0,11
13663,2377,2024,31,27,71,71,0
2851,2438,2015,27,12,84,2,84
9119,2172,2017,29,52,227,0,227
13744,1449,2024,30,19,62,62,0
13758,5602,2023,32,1,7,0,7
16754,4216,2021,30,1,6,0,6
4182,2997,2015,30,73,132,132,0
9399,2707,2016,28,114,224,224,0
4464,4171,2015,30,34,66,66,0
20385,2319,2024,28,3,23,0,23
6652,1001,2015,28,11,18,18,0
23779,3357,2024,27,7,27,0,27
7501,5482,2014,29,30,76,0,76
4054,1836,2016,31,24,43,43,0
9243,5268,2017,29,26,153,0,153
11241,4190,2019,31,75,213,213,8
14140,3178,2021,27,63,90,90,0
16098,5372,2021,27,2,4,4,0
12037,2966,2019,29,73,287,287,0
15823,5999,2021,25,63,252,4,252
16377,4983,2022,26,3,11,0,11
14678,5672,2021,27,1,0,0,0
10500,4639,2017,29,1,10,0,10
19983,1206,2024,27,5,8,8,0
18376,1219,2022,28,6,124,0,124
16285,4099,2021,26,16,38,38,0
15535,2865,2021,29,2,2,2,0
11339,2476,2023,32,46,83,83,0
15104,2989,2022,30,37,91,91,0
11381,1650,2023,34,3,6,6,0
10836,439,2017,28,25,279,14,279
17732,4284,2021,26,45,351,11,351
9919,5,2016,29,7,47,1,47
1907,262,2014,30,25,53,53,0
19924,776,2023,26,6,44,0,44
13854,368,2019,29,25,56,56,0
13834,139,2023,31,1,10,0,10
17737,3224,2023,28,11,23,23,5
11720,3368,2022,33,15,71,0,71
11964,5363,2018,28,18,135,0,135
6835,4360,2016,29,36,90,90,0
8421,70,2015,27,1,10,0,10
7853,274,2016,30,6,85,0,85
6869,3849,2015,31,26,113,0,113
7108,4551,2018,33,15,57,0,57
2832,4683,2014,26,19,71,71,0
3832,3923,2016,32,3,15,1,15
3298,989,2016,27,34,68,68,0
6230,3567,2017,32,2,45,2,45
14993,5127,2018,25,6,65,0,65
18439,1408,2024,30,42,165,0,165
9174,928,2018,28,7,104,6,104
9362,59,2016,32,9,5,5,0
21092,4370,2022,26,1,4,0,4
8246,4525,2017,30,12,109,5,109
18690,4403,2022,25,14,31,31,0
11366,621,2018,29,1,10,0,10
16074,4358,2024,31,12,45,0,45
12198,2464,2021,28,14,30,30,0
17807,1647,2022,28,3,3,3,0
13629,3251,2019,29,14,64,0,64
6653,2817,2016,33,44,155,0,155
16318,4789,2019,25,2,13,0,13
17023,3813,2022,26,45,96,96,0
1658,5842,2014,35,22,42,42,0
9787,5327,2018,27,2,5,5,0
20298,2792,2024,27,5,47,0,47
15697,2148,2022,27,8,11,11,0
19261,2301,2023,28,39,239,0,239
711,4780,2018,31,2,15,0,15
10387,753,2018,27,14,72,0,72
12272,10,2024,34,5,119,0,119
13897,5610,2019,28,5,12,12,0
11716,4415,2017,28,4,80,2,80
22304,665,2023,25,3,23,0,23
11543,1499,2017,28,10,58,0,58
4793,5520,2014,30,62,119,119,0
11385,4030,2017,29,4,8,8,0
14556,4045,2021,28,6,16,16,0
6677,2349,2018,31,70,142,142,0
7740,5585,2016,27,39,71,71,0
2852,1055,2017,28,15,41,41,0
10836,437,2019,30,17,361,1,361
3245,5038,2014,31,6,33,1,33
14707,600,2020,26,8,71,0,71
16958,2465,2021,28,10,51,1,51
18042,1708,2019,26,113,282,282,10
5552,2532,2015,29,12,16,16,0
12037,2965,2018,28,4,15,15,0
19281,4383,2023,28,2,18,0,18
10655,4830,2019,29,1,1,1,0
7945,6013,2017,27,17,62,62,0
3282,4297,2014,26,7,45,0,45
11481,2255,2021,29,18,55,55,0
9756,1458,2018,30,4,62,0,62
8110,781,2023,35,38,190,0,190
19742,370,2021,26,61,247,2,247
14509,1535,2018,26,21,487,39,487
10030,1064,2023,31,11,25,25,6
10197,5258,2021,30,13,62,1,62
4734,5196,2015,31,14,73,0,73
17964,5606,2024,30,6,38,0,38
18792,4147,2019,26,17,45,0,45
5519,4958,2019,29,6,9,9,0
7316,1418,2016,30,7,11,11,0
15101,3798,2021,30,20,113,0,113
15181,4987,2020,28,5,8,8,0
3993,239,2018,28,3,15,0,15
10688,5654,2020,31,7,32,0,32
2578,4616,2019,32,26,46,46,0
6955,5890,2014,30,11,258,0,258
13652,5361,2024,32,62,282,0,282
9854,1796,2017,31,23,69,69,0
9654,4075,2019,30,4,26,0,26
9787,5328,2019,28,7,10,10,0
12198,2462,2022,29,28,59,59,10
5195,1740,2015,26,2,19,0,19
7303,4642,2021,33,2,7,0,7
14412,2856,2024,33,1,0,0,0
15823,6000,2023,27,28,379,0,379
8823,4462,2015,28,13,72,0,72
19788,5972,2023,29,54,160,160,0
2010,801,2014,36,27,119,1,119
5843,4661,2015,31,14,106,1,106
11346,5201,2017,28,1,9,0,9
9149,5446,2016,26,3,54,2,54
9033,2644,2015,27,65,319,1,319
6780,5652,2016,30,16,75,0,75
19784,3366,2023,29,17,91,0,91
12774,2429,2019,28,56,245,0,245
9048,1953,2014,27,45,73,73,0
8337,3693,2021,34,57,301,0,301
20447,1858,2024,28,18,87,0,87
12110,1490,2017,26,3,6,6,0
19891,5056,2024,29,15,93,0,93
17307,3744,2022,26,7,5,5,0
8302,2354,2015,26,20,106,0,106
9901,1084,2015,28,1,7,0,7
13190,3058,2020,27,9,58,0,58
19891,5057,2023,28,1,4,0,4
9414,4651,2014,29,10,2,2,0
888,5135,2014,29,26,573,0,573
12249,5046,2023,33,5,29,0,29
8609,5435,2017,29,13,14,14,0
5306,3537,2017,31,14,31,31,0
2895,5963,2023,35,7,29,0,29
13768,5522,2023,32,107,287,287,0
9246,542,2016,33,10,13,13,0
5830,2785,2016,27,46,269,3,269
10347,4217,2017,26,7,13,13,0
20494,589,2023,28,3,30,0,30
13602,4570,2020,28,2,2,2,0
9149,5447,2017,27,3,30,0,30
14545,1293,2020,29,11,57,0,57
8524,2393,2014,28,7,16,16,0
7511,883,2017,28,28,43,43,0
8979,1700,2017,30,27,71,71,0
5057,5887,2014,28,16,241,17,241
13663,2378,2021,28,7,16,16,0
10317,1405,2017,27,9,13,13,0
16094,5978,2021,27,27,315,18,315
4450,5326,2014,30,109,189,189,4
5888,1176,2014,30,35,81,81,0
9069,2702,2018,31,2,4,0,4
11121,934,2018,30,11,106,0,106
16300,2769,2022,27,17,84,0,84
16754,4113,2022,31,2,8,0,8
10983,509,2021,32,8,49,0,49
15106,1195,2022,28,4,41,0,41
9901,1085,2017,30,6,76,0,76
6200,1688,2016,31,4,42,0,42
14814,797,2022,31,44,199,0,199
2882,3709,2021,31,4,27,0,27
12499,1660,2017,28,2,23,0,23
19588,2195,2023,24,2,8,0,8
14566,2050,2023,27,19,65,65,0
9968,1315,2018,31,2,7,7,0
8822,6011,2014,27,29,62,62,0
16942,3769,2022,26,6,33,0,33
14330,4421,2021,27,4,13,13,0
20209,6001,2023,28,3,31,0,31
3220,2642,2017,35,5,31,1,31
12699,4978,2018,27,6,107,0,107
17473,4287,2022,26,4,9,9,0
13190,3057,2022,29,32,166,0,166
13549,4803,2018,28,63,279,2,279
10534,2482,2019,31,6,36,0,36
3044,754,2014,28,1,17,0,17
3203,315,2014,30,6,16,16,0
7409,5843,2016,28,24,69,69,0
8298,2025,2014,24,1,0,0,0
12297,1945,2018,28,10,37,0,37
13401,4656,2022,31,1,13,0,13
19159,5989,2023,28,3,20,0,20
6908,1148,2014,29,9,10,10,0
6027,5348,2015,26,16,117,7,117
12972,2871,2024,31,25,321,0,321
15407,4308,2020,30,6,7,7,0
11543,1498,2016,27,6,36,0,36
8536,5593,2018,31,7,87,3,87
14655,3528,2021,29,7,64,0,64
