IDfg,Season,Age,G,TBF
5702,2018,33,31,611
3548,2015,26,58,261
4301,2015,27,74,244
4869,2018,28,38,534
6562,2018,30,28,661
9111,2016,26,82,364
10233,2017,29,52,210
8110,2017,29,79,312
14107,2015,24,25,470
17130,2016,26,37,325
5224,2017,32,71,254
13763,2017,25,65,279
13942,2017,27,22,341
9895,2016,29,29,350
13218,2018,25,24,558
5114,2015,25,76,308
6941,2014,30,48,182
8350,2016,29,67,278
12304,2015,26,18,361
7550,2017,30,62,229
4235,2014,31,34,888
2155,2015,34,31,820
10732,2015,24,30,664
7754,2018,33,31,714
2233,2017,35,24,546
6797,2015,24,33,843
18356,2018,21,26,537
7731,2016,29,52,513
15488,2017,22,36,564
10811,2016,24,22,525
4505,2016,30,19,450
6435,2014,26,18,458
8241,2018,33,69,283
9884,2014,27,31,781
12638,2015,27,27,621
16918,2017,23,13,252
7593,2014,23,22,546
17186,2017,24,21,485
12638,2016,28,22,417
12972,2015,22,16,314
11426,2015,26,53,357
5003,2014,27,73,313
12703,2014,23,26,663
15761,2018,23,68,267
13690,2017,23,16,384
9425,2017,33,18,392
13475,2017,24,22,460
7293,2016,36,69,289
8241,2014,29,63,259
18655,2018,24,65,260
5070,2014,28,54,231
2895,2014,26,22,377
13431,2018,27,19,449
4264,2015,30,78,293
12183,2017,28,69,282
14696,2018,25,54,212
12572,2017,29,72,325
13403,2018,28,19,389
13194,2017,27,44,517
7441,2016,30,45,176
9227,2015,40,43,160
3656,2016,33,65,266
12910,2016,25,69,286
11762,2017,24,7,124
3548,2016,27,53,275
2155,2014,33,32,818
9492,2014,29,28,687
4538,2016,33,30,692
10302,2015,27,31,746
7410,2014,31,30,673
3132,2014,29,78,305
3284,2015,31,25,660
13758,2016,25,26,596
13911,2018,28,56,228
12763,2017,26,62,316
6283,2014,31,29,765
8779,2014,27,33,866
2929,2015,27,30,736
3542,2018,29,28,692
3543,2014,29,28,737
15454,2017,24,26,584
8180,2015,25,81,312
8048,2015,25,76,264
4869,2017,27,44,540
3542,2015,26,30,588
6329,2015,30,30,768
16918,2018,24,30,609
7531,2018,31,58,283
4676,2014,30,26,666
10123,2016,28,25,653
3830,2014,31,27,695
3840,2014,31,74,238
2660,2015,28,63,214
5448,2018,34,62,377
8779,2018,31,16,338
6655,2018,30,63,247
6499,2015,28,70,265
13758,2015,24,10,242
13699,2017,23,16,357
4371,2018,31,19,370
494,2017,40,61,231
4138,2014,30,42,343
14825,2018,26,27,542
12760,2017,26,34,550
10756,2016,27,50,256
6033,2014,24,70,285
15015,2016,21,12,189
3132,2015,30,77,293
9325,2018,32,72,298
13696,2016,22,8,185
13549,2018,28,63,279
11804,2016,27,79,328
6655,2015,27,61,239
6499,2018,31,30,351
19309,2018,25,25,547
521,2015,38,36,140
4141,2014,27,6,145
8350,2015,28,71,277
3840,2016,33,81,258
6984,2017,30,66,295
19249,2018,23,53,231
2391,2018,30,63,250
11682,2014,22,57,386
16086,2017,24,59,256
16159,2018,24,59,214
12803,2015,24,30,118
13764,2015,20,68,271
9460,2016,27,34,792
2072,2014,35,32,864
2520,2017,30,33,776
7450,2015,29,27,651
9761,2015,27,25,586
1259,2014,34,29,762
1994,2018,31,29,683
10430,2017,27,69,315
10430,2016,26,66,313
1051,2015,34,19,448
6893,2017,31,25,648
14361,2017,26,34,692
4505,2017,31,29,713
18300,2018,25,29,665
7059,2018,36,34,871
12183,2014,25,76,279
5358,2018,29,76,261
12863,2018,28,62,265
18679,2018,22,16,321
3340,2016,32,19,461
404,2015,34,29,726
1451,2015,37,29,748
13974,2016,26,70,290
10591,2017,27,58,283
11710,2015,27,75,309
16401,2018,24,18,370
9884,2015,28,54,419
14875,2018,26,16,326
1437,2014,36,53,205
6627,2017,31,67,275
13475,2016,23,14,302
12237,2018,28,69,255
5070,2015,29,54,209
8041,2014,31,63,260
6316,2015,28,23,482
9029,2017,29,46,223
12664,2015,24,8,203
6216,2017,29,66,261
9029,2014,26,69,324
13164,2016,23,20,458
13287,2017,27,14,316
4806,2015,35,4,106
2660,2014,27,66,234
9111,2018,28,69,301
15947,2018,26,59,263
10745,2014,24,72,308
6661,2017,28,65,281
6655,2016,28,57,220
6983,2015,27,58,228
7416,2015,32,57,215
16588,2018,25,60,272
5985,2017,27,26,259
1247,2014,28,75,272
1757,2015,34,32,768
4772,2016,30,25,655
12673,2014,25,29,693
8137,2016,29,32,741
6570,2016,30,33,774
4338,2017,27,33,631
4849,2015,34,36,309
4090,2015,31,64,239
13684,2018,25,26,487
4141,2016,29,22,461
9227,2014,39,64,249
18719,2018,35,73,274
10481,2015,27,73,298
11828,2014,25,13,303
1259,2016,36,19,472
15514,2017,26,19,444
15488,2018,23,23,390
15440,2016,25,20,412
13071,2018,32,26,572
12880,2017,27,17,362
17432,2017,24,23,440
14966,2018,25,69,262
4259,2018,33,57,254
9895,2017,30,60,340
9121,2014,24,19,429
3192,2018,33,61,230
7531,2017,30,12,271
7441,2017,31,59,242
11804,2017,28,74,320
13194,2016,26,60,295
17496,2018,24,43,222
4090,2016,32,59,230
19755,2018,23,10,211
4301,2017,29,65,248
14457,2015,25,15,281
4301,2016,28,66,251
16943,2017,24,19,456
11710,2016,28,73,285
13607,2018,26,58,222
1157,2017,30,61,228
7773,2016,32,67,224
9456,2016,29,67,247
7196,2017,31,61,235
12385,2015,24,8,161
6986,2018,33,22,518
6661,2016,27,57,226
14212,2017,23,35,188
4070,2014,29,65,244
13764,2018,23,38,150
2660,2017,30,73,277
4079,2015,29,61,247
7550,2015,28,39,147
13781,2016,25,14,255
9388,2016,31,30,725
10123,2017,29,29,693
3196,2015,36,34,500
8302,2017,28,27,620
6797,2017,26,32,812
9948,2014,29,75,245
11502,2017,25,21,492
12917,2016,23,36,474
6230,2014,29,32,865
4371,2015,28,27,636
19320,2018,25,26,548
7872,2018,31,31,634
5372,2017,28,17,410
12917,2018,25,31,750
4300,2017,34,63,233
3281,2014,30,76,285
6661,2018,29,70,282
12799,2015,24,15,365
10291,2017,29,73,319
12863,2017,27,70,287
4505,2018,32,25,556
3284,2016,32,35,668
13394,2018,27,54,271
16149,2015,22,13,318
7005,2016,27,72,328
11176,2014,25,20,503
14361,2018,27,47,512
9388,2014,29,25,446
9895,2015,28,24,594
1890,2017,28,32,790
4070,2017,32,69,250
13607,2017,25,73,262
11760,2015,26,12,275
8241,2016,31,62,267
9784,2018,30,16,324
10756,2014,25,15,345
13273,2016,26,22,419
10314,2017,27,37,539
13133,2016,25,61,214
4869,2016,26,49,414
6483,2016,30,62,258
11334,2017,29,50,220
9239,2016,29,62,297
9939,2017,32,72,288
13046,2014,33,13,289
5420,2015,27,52,208
3548,2017,28,70,273
12890,2018,26,66,299
13188,2017,24,21,443
4538,2018,35,39,583
3240,2014,26,71,285
13182,2018,25,64,255
12183,2016,27,67,264
4259,2017,32,64,214
10586,2015,26,55,241
13360,2016,24,45,162
6983,2014,26,65,224
8258,2014,30,61,229
4070,2015,30,76,270
1514,2018,36,50,120
1642,2015,33,60,216
494,2014,37,69,286
8223,2014,26,8,180
15166,2017,20,5,123
16502,2018,26,38,628
6570,2015,29,32,800
4897,2016,32,26,590
13619,2017,24,20,422
1011,2014,36,32,780
13942,2018,28,20,424
13690,2018,24,39,644
8779,2017,30,32,728
3555,2016,32,53,246
13287,2014,24,14,306
12970,2017,24,38,462
4070,2018,33,60,240
7841,2017,33,75,217
3959,2014,28,65,259
16137,2018,25,20,511
2586,2015,36,17,392
3340,2017,33,24,504
3321,2014,31,68,271
4090,2014,30,72,284
6627,2015,29,62,324
3281,2015,31,70,271
14309,2018,25,13,283
8844,2014,28,67,271
13361,2018,27,30,654
3926,2014,30,73,260
3840,2018,35,72,240
14975,2016,23,14,301
13071,2016,30,22,520
12768,2016,26,22,517
8073,2016,29,64,259
6483,2018,32,80,288
12890,2016,24,39,217
4079,2014,28,71,261
2895,2015,27,61,299
14710,2017,23,66,278
8280,2014,30,56,198
3926,2015,31,62,257
15010,2018,26,57,223
12833,2017,27,13,292
3990,2017,33,17,397
14932,2017,25,15,372
8223,2018,30,17,333
7677,2014,25,50,177
8280,2015,31,60,216
13799,2018,26,41,245
9490,2016,28,59,241
12673,2018,29,23,210
17169,2018,22,37,150
36,2016,29,54,174
11243,2015,27,40,123
11366,2014,25,16,309
2233,2015,33,7,111
10430,2015,25,22,117
5114,2014,24,76,322
7773,2015,31,53,205
12076,2015,23,49,189
10586,2017,28,77,306
9033,2015,27,65,319
10066,2016,25,63,217
2882,2018,28,70,197
6955,2014,30,11,258
7593,2015,24,10,212
1852,2015,34,68,248
12988,2018,28,77,211
10843,2018,29,31,141
13533,2016,27,24,238
11189,2015,23,19,231
9784,2017,29,6,108
6475,2014,29,74,260
14916,2015,23,9,185
7059,2015,33,33,860
4026,2016,28,33,785
9425,2016,32,32,779
1245,2016,41,30,728
13761,2018,27,28,625
14078,2018,26,15,355
4235,2015,32,26,669
6283,2017,34,21,472
13050,2018,28,21,484
2642,2014,38,70,280
11801,2016,25,68,331
11137,2015,27,21,466
11486,2018,26,24,526
19316,2018,23,23,504
16561,2018,24,29,334
3201,2017,33,38,439
8362,2017,31,18,420
10133,2014,26,63,247
12988,2015,25,66,306
6283,2015,32,18,451
3830,2015,32,9,173
7836,2017,28,68,268
14696,2017,24,39,151
5420,2018,30,55,237
1100,2014,34,64,252
16017,2014,27,16,404
5003,2016,29,66,221
7558,2015,31,56,242
7146,2015,28,64,290
9059,2015,32,60,250
8223,2017,29,13,251
5498,2015,24,36,139
8280,2018,34,54,151
7803,2018,31,31,133
9239,2015,28,59,273
8501,2014,27,66,290
12781,2015,25,50,235
3192,2017,32,46,177
17002,2017,26,37,170
6819,2016,27,54,238
7196,2015,29,48,193
8580,2015,28,34,129
7441,2018,32,69,261
10190,2016,24,10,219
1701,2014,35,40,429
12778,2018,28,26,548
13799,2016,24,21,88
11457,2016,27,37,172
14771,2017,26,34,196
10341,2018,27,52,209
3321,2017,34,64,240
6627,2018,32,69,289
5525,2016,31,66,187
14374,2018,24,45,468
10190,2017,25,16,365
7841,2014,30,64,240
10547,2014,25,14,311
17149,2018,25,21,375
16980,2016,23,14,332
9784,2016,28,6,148
15915,2018,23,60,246
4064,2017,34,68,257
5358,2016,27,64,256
7731,2015,28,53,260
12076,2016,24,75,327
7731,2018,31,46,183
3271,2014,26,58,205
14719,2018,25,16,70
3299,2014,29,52,232
16258,2018,24,37,144
4878,2016,25,71,300
12910,2018,27,55,212
13911,2017,27,66,265
3990,2014,30,32,809
16208,2016,23,31,734
6797,2018,27,31,724
4424,2015,28,33,770
9132,2016,26,24,525
4676,2015,31,23,563
7385,2014,29,72,348
11836,2016,23,25,573
11903,2016,23,47,270
14843,2017,25,70,361
8350,2014,27,68,270
4849,2016,35,75,315
4776,2015,28,25,569
7738,2016,27,23,554
1841,2018,34,17,381
9492,2016,31,35,495
8173,2016,30,23,526
1841,2014,30,28,633
9080,2014,26,49,213
11426,2014,25,20,278
9490,2015,27,72,285
12975,2016,22,41,162
5498,2017,26,62,235
15890,2015,21,11,255
11720,2014,25,73,292
1157,2018,31,65,270
4971,2015,30,72,269
9323,2016,26,36,701
1051,2016,35,31,520
4759,2014,30,62,231
10756,2017,28,71,283
9761,2017,29,54,238
729,2014,41,57,226
5640,2016,31,69,262
13761,2017,26,13,256
12970,2016,23,11,256
6902,2014,23,8,207
13143,2015,22,11,272
6483,2017,31,49,174
6475,2015,30,75,285
4955,2014,26,54,219
7836,2015,26,55,191
12360,2014,25,56,222
2413,2014,26,30,225
11243,2014,26,50,174
1157,2014,27,60,241
7836,2016,27,72,250
12777,2018,28,45,209
1642,2016,34,61,235
17355,2018,26,69,271
12095,2015,24,59,225
15288,2018,27,70,284
1246,2017,31,57,240
7474,2014,28,51,207
13449,2016,25,57,264
13528,2017,26,75,247
7773,2014,30,59,220
13424,2018,27,41,233
15885,2018,23,11,247
7146,2016,29,70,268
17586,2018,23,53,240
1345,2017,31,72,332
4878,2017,26,68,267
5615,2018,30,34,124
13654,2016,24,5,112
12572,2014,26,15,214
6832,2017,30,58,254
4070,2016,31,54,187
9975,2015,31,53,267
8048,2016,26,53,167
10637,2016,29,58,176
13528,2016,25,59,281
2692,2014,28,69,263
16017,2017,30,18,254
4776,2018,31,7,130
15832,2018,25,35,159
12988,2017,27,71,221
7555,2014,27,63,215
12304,2014,25,6,137
11847,2018,32,46,177
1837,2016,36,40,186
7293,2015,35,66,263
9736,2014,31,70,289
17780,2017,22,35,123
3862,2015,26,32,809
1507,2017,38,31,731
10197,2014,23,32,764
4026,2015,27,33,776
6895,2014,26,21,486
7024,2015,31,26,622
13763,2014,22,57,272
15043,2018,26,69,299
5985,2015,25,64,308
13696,2017,23,25,549
4020,2018,33,74,368
15290,2017,27,30,371
3551,2018,34,27,682
9456,2018,31,54,163
13713,2017,27,66,286
13360,2017,25,48,190
3830,2017,34,33,787
4971,2014,29,57,239
14444,2017,30,25,541
12673,2015,26,22,490
13533,2017,28,12,283
12317,2016,25,20,454
16400,2016,22,11,201
11710,2018,30,74,273
6033,2015,25,72,286
7841,2016,32,73,178
15258,2018,26,53,259
13442,2014,23,60,246
11753,2016,24,56,226
6316,2017,30,54,238
4301,2018,30,71,236
7274,2014,30,49,304
13453,2017,26,13,237
7555,2018,31,62,239
9761,2018,30,73,285
11490,2018,25,20,474
10354,2014,23,13,264
5203,2016,32,24,541
8782,2018,31,28,681
11720,2015,26,62,204
7624,2016,33,72,339
16980,2017,24,7,169
14739,2017,23,10,238
8041,2015,32,60,238
5401,2018,30,61,272
13273,2017,27,49,304
9227,2017,42,49,178
12323,2017,27,73,304
7593,2018,27,35,371
7466,2014,28,50,378
16400,2017,23,8,207
11754,2016,24,18,346
6249,2014,26,32,499
15890,2016,22,22,312
6984,2018,31,59,204
10197,2016,25,20,460
11490,2014,21,24,121
4994,2014,28,69,216
13560,2016,24,5,111
36,2018,31,48,140
3886,2014,31,9,229
3357,2015,31,65,221
3240,2017,29,38,161
2882,2017,27,61,194
12304,2018,29,11,204
9119,2017,29,52,227
1157,2016,29,33,139
1581,2016,29,44,155
9227,2016,41,50,184
18383,2018,20,5,113
2391,2016,28,54,200
11432,2016,27,36,204
10343,2017,29,70,265
1837,2017,37,62,247
