IDfg,Season,Age,G,PA,TBF
11579,2017-01-01,24,111,492,
5235,2018-01-01,33,103,426,
8090,2018-01-01,32,156,677,
11442,2017-01-01,24,122,525,
1433,2016-01-01,28,131,523,
14162,2016-01-01,21,153,660,
7539,2014-01-01,28,137,571,
8709,2017-01-01,28,158,689,
7185,2015-01-01,28,153,615,
9241,2018-01-01,29,145,606,
8252,2014-01-01,31,162,708,
5343,2016-01-01,29,155,623,
11477,2014-01-01,22,144,660,
4922,2017-01-01,26,158,718,
6885,2014-01-01,28,154,648,
12147,2018-01-01,28,153,564,
16252,2016-01-01,23,73,324,
15998,2017-01-01,21,132,548,
8090,2016-01-01,30,129,566,
12916,2015-01-01,21,99,438,
5297,2018-01-01,28,137,581,
9776,2016-01-01,29,156,688,
11477,2017-01-01,25,156,695,
13853,2018-01-01,28,139,545,
16556,2018-01-01,21,158,684,
13265,2014-01-01,23,131,476,
5666,2014-01-01,26,114,440,
2136,2015-01-01,27,149,517,
5235,2015-01-01,30,126,439,
2434,2014-01-01,33,159,678,
15878,2018-01-01,23,149,606,
10264,2015-01-01,27,137,556,
12552,2017-01-01,25,156,632,
12856,2015-01-01,25,102,451,
8370,2016-01-01,32,154,698,
10322,2014-01-01,23,101,430,
4418,2017-01-01,33,153,645,
11205,2015-01-01,26,153,689,
6195,2015-01-01,33,154,675,
11368,2017-01-01,28,129,482,
4922,2016-01-01,25,131,578,
6184,2014-01-01,26,123,480,
3892,2017-01-01,30,134,540,
11936,2015-01-01,24,100,432,
4892,2015-01-01,26,147,614,
5667,2017-01-01,28,148,617,
11476,2016-01-01,24,159,656,
9785,2015-01-01,27,161,686,
9927,2017-01-01,33,151,682,
9368,2015-01-01,29,160,670,
11476,2015-01-01,23,147,537,
5933,2018-01-01,28,144,632,
11038,2016-01-01,26,105,414,
1736,2014-01-01,31,143,655,
971,2014-01-01,35,138,609,
8370,2014-01-01,30,135,609,
6867,2015-01-01,26,147,557,
4316,2017-01-01,32,144,593,
20123,2018-01-01,19,116,494,
2151,2014-01-01,31,128,542,
12158,2017-01-01,27,102,262,
3516,2017-01-01,27,162,671,
10264,2016-01-01,28,156,655,
2136,2018-01-01,30,146,614,
4949,2018-01-01,28,158,705,
13329,2016-01-01,25,151,594,
5222,2014-01-01,26,154,641,
11982,2018-01-01,28,152,587,
9241,2016-01-01,27,129,529,
8001,2014-01-01,30,128,512,
1908,2014-01-01,32,159,660,
17182,2015-01-01,28,126,467,
11205,2014-01-01,25,123,538,
18030,2018-01-01,24,138,427,
1679,2014-01-01,35,155,664,
4616,2016-01-01,33,137,535,
14162,2018-01-01,23,110,468,
12434,2015-01-01,26,159,628,
10199,2016-01-01,25,119,460,
2151,2016-01-01,33,160,702,
9847,2017-01-01,30,156,650,
7435,2016-01-01,35,147,631,
2967,2018-01-01,30,137,570,
6153,2018-01-01,29,151,631,
10816,2017-01-01,28,125,481,
12161,2016-01-01,23,157,719,
8709,2016-01-01,27,147,568,
13757,2018-01-01,27,155,604,
14106,2016-01-01,22,151,598,
9368,2014-01-01,28,162,700,
8203,2014-01-01,26,148,650,
11846,2014-01-01,26,155,583,
4949,2015-01-01,25,74,318,
4220,2017-01-01,32,144,576,
2434,2017-01-01,36,155,645,
12564,2016-01-01,23,97,415,
4106,2015-01-01,28,137,596,
10339,2018-01-01,28,154,638,
4106,2018-01-01,31,143,631,
3516,2015-01-01,25,158,667,
15998,2018-01-01,22,162,632,
11038,2017-01-01,27,98,421,
6885,2016-01-01,30,156,677,
5933,2017-01-01,27,125,566,
9785,2017-01-01,29,154,650,
13110,2014-01-01,28,152,645,
4727,2014-01-01,30,149,635,
6310,2014-01-01,27,162,620,
5235,2014-01-01,29,109,322,
9054,2017-01-01,30,158,637,
14162,2015-01-01,20,99,432,
3174,2015-01-01,32,149,653,
10071,2016-01-01,25,156,679,
7739,2015-01-01,26,67,268,
4962,2016-01-01,30,141,568,
16376,2018-01-01,25,153,638,
10047,2016-01-01,25,157,676,
5222,2015-01-01,27,150,620,
9874,2017-01-01,28,155,682,
6368,2015-01-01,29,137,581,
454,2014-01-01,35,103,404,
11200,2014-01-01,26,127,537,
10556,2016-01-01,26,155,622,
11265,2016-01-01,24,162,647,
7462,2014-01-01,28,136,582,
8090,2014-01-01,28,158,709,
3312,2015-01-01,31,129,551,
4922,2018-01-01,27,156,660,
4720,2014-01-01,30,135,531,
3410,2016-01-01,32,135,564,
13110,2016-01-01,30,132,543,
2396,2016-01-01,30,158,688,
15676,2015-01-01,28,154,668,
11899,2016-01-01,24,137,476,
3473,2018-01-01,28,153,665,
5361,2015-01-01,25,118,481,
6012,2018-01-01,28,134,569,
12155,2018-01-01,26,138,592,
12861,2016-01-01,26,156,647,
11281,2017-01-01,28,145,630,
9241,2015-01-01,26,153,633,
9927,2014-01-01,30,148,636,
5409,2014-01-01,27,157,638,
5133,2014-01-01,32,158,657,
3364,2014-01-01,30,136,560,
11579,2018-01-01,25,159,695,
10348,2017-01-01,24,151,607,
3410,2015-01-01,31,140,568,
2502,2015-01-01,29,135,554,
11003,2016-01-01,29,128,499,
13367,2018-01-01,27,151,605,
1873,2014-01-01,34,156,667,
14950,2018-01-01,24,134,524,
4579,2014-01-01,24,134,569,
4969,2014-01-01,28,149,547,
3312,2016-01-01,32,153,658,
4962,2018-01-01,32,147,592,
13608,2018-01-01,25,141,544,
12161,2017-01-01,24,148,635,
11200,2015-01-01,27,159,686,
7007,2014-01-01,31,110,445,
4810,2014-01-01,30,140,538,
6887,2017-01-01,30,138,471,
15937,2016-01-01,25,111,460,
1433,2018-01-01,30,111,416,
4314,2018-01-01,34,145,623,
2502,2014-01-01,28,153,596,
4022,2014-01-01,29,139,621,
12979,2017-01-01,24,145,508,
16252,2017-01-01,24,98,447,
11200,2016-01-01,28,157,672,
6878,2015-01-01,30,148,503,
12856,2018-01-01,28,140,620,
11899,2015-01-01,23,151,585,
3364,2015-01-01,31,113,403,
9810,2015-01-01,28,157,704,
13593,2018-01-01,24,157,683,
7739,2014-01-01,25,108,421,
6012,2015-01-01,25,155,578,
10847,2015-01-01,25,147,583,
11442,2016-01-01,23,53,229,
11342,2018-01-01,28,149,566,
10243,2015-01-01,23,103,350,
9205,2017-01-01,29,149,601,
9112,2017-01-01,29,153,652,
1908,2015-01-01,33,156,643,
7435,2018-01-01,37,139,520,
7435,2015-01-01,34,126,535,
10762,2018-01-01,29,135,533,
10243,2018-01-01,26,124,462,
785,2017-01-01,31,147,576,
13613,2018-01-01,24,153,580,
785,2016-01-01,30,158,666,
18289,2018-01-01,25,156,670,
4062,2015-01-01,29,156,690,
9134,2014-01-01,28,127,442,
3797,2014-01-01,31,141,569,
745,2015-01-01,39,146,614,
1281,2015-01-01,35,111,462,
9112,2018-01-01,30,151,654,
17182,2016-01-01,29,103,370,
