player_name,team,fa_class,position,minor_league_level,first_name_lower,last_name_lower,normed_position
Travis Banwart,Oakland Athletics,2013,RHP,AAA,travis,banwart,pitcher
Bruce Billings,Oakland Athletics,2013,RHP,AAA,bruce,billings,pitcher
Darren Byrd,Oakland Athletics,2013,RHP,Hi A,darren,byrd,pitcher
Andrew Carignan*,Oakland Athletics,2013,RHP,AAA,andrew,carignan*,pitcher
Drew Carpenter,Oakland Athletics,2013,RHP,AA,drew,carpenter,pitcher
Mike DeMark,Oakland Athletics,2013,RHP,AA,mike,demark,pitcher
Brian Gordon,Oakland Athletics,2013,RHP,AAA,brian,gordon,pitcher
David Mota,Oakland Athletics,2013,RHP,Hi A,david,mota,pitcher
Kyler Newby,Oakland Athletics,2013,RHP,AAA,kyler,newby,pitcher
James Simmons,Oakland Athletics,2013,RHP,Hi A,james,simmons,pitcher
Pedro Vidal,Oakland Athletics,2013,RHP,AA,pedro,vidal,pitcher
Shaeffer Hall,Oakland Athletics,2013,LHP,Hi A,shaeffer,hall,pitcher
Carlos Hernandez,Oakland Athletics,2013,LHP,AAA,carlos,hernandez,pitcher
Julio Ramos*,Oakland Athletics,2013,LHP,Hi A,julio,ramos*,pitcher
Pedro Viola,Oakland Athletics,2013,LHP,AA,pedro,viola,pitcher
Diomedes Lopez,Oakland Athletics,2013,C,AA,diomedes,lopez,batter
Gabriel Arias,Philadelphia Phillies,2013,RHP,Hi A,gabriel,arias,pitcher
Justin Friend,Philadelphia Phillies,2013,RHP,AAA,justin,friend,pitcher
Mike MacDougal,Philadelphia Phillies,2013,RHP,AAA,mike,macdougal,pitcher
Juan Sosa,Philadelphia Phillies,2013,RHP,AA,juan,sosa,pitcher
Bobby Bramhall,Philadelphia Phillies,2013,LHP,AA,bobby,bramhall,pitcher
Tom Cochran,Philadelphia Phillies,2013,LHP,AAA,tom,cochran,pitcher
Mauricio Robles,Philadelphia Phillies,2013,LHP,AAA,mauricio,robles,pitcher
Greg Smith,Philadelphia Phillies,2013,LHP,AAA,greg,smith,pitcher
John Suomi,Philadelphia Phillies,2013,C,AAA,john,suomi,batter
Shawn Williams*,Philadelphia Phillies,2013,C,AA,shawn,williams*,batter
Matt Tolbert,Philadelphia Phillies,2013,2B,AA,matt,tolbert,batter
Josh Fields,Philadelphia Phillies,2013,3B,AAA,josh,fields,batter
Miguel Abreu,Philadelphia Phillies,2013,SS,AAA,miguel,abreu,batter
Andres Blanco*,Philadelphia Phillies,2013,SS,AAA,andres,blanco*,batter
Derrick Mitchell,Philadelphia Phillies,2013,OF,AAA,derrick,mitchell,batter
David Bromberg,Pittsburgh Pirates,2013,RHP,AA,david,bromberg,pitcher
Brooks Brown,Pittsburgh Pirates,2013,RHP,AAA,brooks,brown,pitcher
Erik Cordier,Pittsburgh Pirates,2013,RHP,AAA,erik,cordier,pitcher
Jason Erickson,Pittsburgh Pirates,2013,RHP,Hi A,jason,erickson,pitcher
Graham Godfrey,Pittsburgh Pirates,2013,RHP,AAA,graham,godfrey,pitcher
Doug Mathis,Pittsburgh Pirates,2013,RHP,AAA,doug,mathis,pitcher
Luis Sanz,Pittsburgh Pirates,2013,RHP,AA,luis,sanz,pitcher
Kyle Waldrop,Pittsburgh Pirates,2013,RHP,AAA,kyle,waldrop,pitcher
Kurt Yacko,Pittsburgh Pirates,2013,RHP,R,kurt,yacko,pitcher
Dan Cevette,Pittsburgh Pirates,2013,LHP,AA,dan,cevette,pitcher
Jhonathan Ramos,Pittsburgh Pirates,2013,LHP,AA,jhonathan,ramos,pitcher
Atahualpa Severino,Pittsburgh Pirates,2013,LHP,AAA,atahualpa,severino,pitcher
Francisco Diaz,Pittsburgh Pirates,2013,C,Lo A,francisco,diaz,batter
Devin Ivany,Pittsburgh Pirates,2013,C,Hi A,devin,ivany,batter
Lucas May,Pittsburgh Pirates,2013,C,AAA,lucas,may,batter
Miguel Perez,Pittsburgh Pirates,2013,C,AA,miguel,perez,batter
Ali Solis,Pittsburgh Pirates,2013,C,AA,ali,solis,batter
Russ Canzler,Pittsburgh Pirates,2013,1B,AAA,russ,canzler,batter
Ivan De Jesus Jr.,Pittsburgh Pirates,2013,2B,AAA,ivan,de jesus jr.,batter
Oscar Tejeda,Pittsburgh Pirates,2013,2B,AA,oscar,tejeda,batter
Jared Goedert,Pittsburgh Pirates,2013,3B,AAA,jared,goedert,batter
Brian Bocock,Pittsburgh Pirates,2013,SS,AAA,brian,bocock,batter
Brett Carroll,Pittsburgh Pirates,2013,OF,AAA,brett,carroll,batter
Miles Durham*,Pittsburgh Pirates,2013,OF,Lo A,miles,durham*,batter
Darren Ford,Pittsburgh Pirates,2013,OF,AAA,darren,ford,batter
Anthony Norman*,Pittsburgh Pirates,2013,OF,Hi A,anthony,norman*,batter
Richard Castillo,St. Louis Cardinals,2013,RHP,AAA,richard,castillo,pitcher
Ramon Delgado,St. Louis Cardinals,2013,RHP,AAA,ramon,delgado,pitcher
Deryk Hooker,St. Louis Cardinals,2013,RHP,AAA,deryk,hooker,pitcher
Zach Russell,St. Louis Cardinals,2013,RHP,AA,zach,russell,pitcher
Nick Additon,St. Louis Cardinals,2013,LHP,AAA,nick,additon,pitcher
Jay Voss,St. Louis Cardinals,2013,LHP,Lo A,jay,voss,pitcher
Rob Johnson,St. Louis Cardinals,2013,C,AAA,rob,johnson,batter
Brock Peterson,St. Louis Cardinals,2013,1B,AAA,brock,peterson,batter
Ruben Gotay,St. Louis Cardinals,2013,3B,AA,ruben,gotay,batter
Adron Chambers,St. Louis Cardinals,2013,OF,AAA,adron,chambers,batter
Chad Huffman,St. Louis Cardinals,2013,OF,AAA,chad,huffman,batter
Jamie Romak,St. Louis Cardinals,2013,OF,AAA,jamie,romak,batter
Eddie Bonine,San Diego Padres,2013,RHP,AA,eddie,bonine,pitcher
Wilfredo Boscan,San Diego Padres,2013,RHP,AA,wilfredo,boscan,pitcher
Dan Cortes,San Diego Padres,2013,RHP,AAA,dan,cortes,pitcher
Fautino de los Santos,San Diego Padres,2013,RHP,AA,fautino,de los santos,pitcher
Josh Geer,San Diego Padres,2013,RHP,AA,josh,geer,pitcher
Trevor Holder,San Diego Padres,2013,RHP,Hi A,trevor,holder,pitcher
Ryan Kelly,San Diego Padres,2013,RHP,AA,ryan,kelly,pitcher
Jeremy McBryde,San Diego Padres,2013,RHP,AA,jeremy,mcbryde,pitcher
Jason Ray,San Diego Padres,2013,RHP,AAA,jason,ray,pitcher
Tommy Layne,San Diego Padres,2013,LHP,AAA,tommy,layne,pitcher
Clay Zavada,San Diego Padres,2013,LHP,AA,clay,zavada,pitcher
Chris Robinson,San Diego Padres,2013,C,AAA,chris,robinson,batter
Eddy Rodriguez,San Diego Padres,2013,C,AAA,eddy,rodriguez,batter
Brandon Allen,San Diego Padres,2013,1B,AAA,brandon,allen,batter
Jake Blackwood,San Diego Padres,2013,3B,AA,jake,blackwood,batter
Jesus Merchan,San Diego Padres,2013,3B,AAA,jesus,merchan,batter
Scott Moore,San Diego Padres,2013,3B,AAA,scott,moore,batter
Gregorio Petit,San Diego Padres,2013,SS,AAA,gregorio,petit,batter
Jeudy Valdez,San Diego Padres,2013,SS,AA,jeudy,valdez,batter
Travis Buck,San Diego Padres,2013,OF,AAA,travis,buck,batter
Ben Francisco,San Diego Padres,2013,OF,AAA,ben,francisco,batter
Johan Limonta,San Diego Padres,2013,OF,AA,johan,limonta,batter
Mike Wilson,San Diego Padres,2013,OF,AAA,mike,wilson,batter
Fabio Castillo,San Francisco Giants,2013,RHP,AAA,fabio,castillo,pitcher
Edward Concepcion,San Francisco Giants,2013,RHP,Lo A,edward,concepcion,pitcher
Steve Edlefsen,San Francisco Giants,2013,RHP,AAA,steve,edlefsen,pitcher
Daryl Maday,San Francisco Giants,2013,RHP,AAA,daryl,maday,pitcher
Jon Meloan*,San Francisco Giants,2013,RHP,AAA,jon,meloan*,pitcher
Ryan Sadowski*,San Francisco Giants,2013,RHP,AAA,ryan,sadowski*,pitcher
Mason Tobin,San Francisco Giants,2013,RHP,AAA,mason,tobin,pitcher
Tyler LaTorre,San Francisco Giants,2013,C,AA,tyler,latorre,batter
Mark Wagner,San Francisco Giants,2013,C,AAA,mark,wagner,batter
Jackson Williams,San Francisco Giants,2013,C,AAA,jackson,williams,batter
Todd Linden,San Francisco Giants,2013,1B,AAA,todd,linden,batter
Brock Bond,San Francisco Giants,2013,2B,Hi A,brock,bond,batter
Skyler Stromsmoe,San Francisco Giants,2013,2B,AA,skyler,stromsmoe,batter
Jonathan Arias,Seattle Mariners,2013,RHP,AAA,jonathan,arias,pitcher
Moises Hernandez,Seattle Mariners,2013,RHP,AA,moises,hernandez,pitcher
Brent Johnson*,Seattle Mariners,2013,RHP,AA,brent,johnson*,pitcher
Stephen Shackleford,Seattle Mariners,2013,RHP,AA,stephen,shackleford,pitcher
Brian Sweeney,Seattle Mariners,2013,RHP,AAA,brian,sweeney,pitcher
Pedro Reyes,Seattle Mariners,2013,LHP,DSL,pedro,reyes,pitcher
Jason Jaramillo,Seattle Mariners,2013,C,AAA,jason,jaramillo,batter
Leury Bonilla,Seattle Mariners,2013,3B,AAA,leury,bonilla,batter
Anthony Phillips,Seattle Mariners,2013,SS,Hi A,anthony,phillips,batter
Denny Almonte,Seattle Mariners,2013,OF,AA,denny,almonte,batter
Joe Dunigan,Seattle Mariners,2013,OF,AAA,joe,dunigan,batter
Matt Buschmann,Tampa Bay Rays,2013,RHP,AAA,matt,buschmann,pitcher
Carlos Fisher,Tampa Bay Rays,2013,RHP,AA,carlos,fisher,pitcher
Erik Hamren,Tampa Bay Rays,2013,RHP,AA,erik,hamren,pitcher
Victor Mateo,Tampa Bay Rays,2013,RHP,AA,victor,mateo,pitcher
Matt Nevarez,Tampa Bay Rays,2013,RHP,AA,matt,nevarez,pitcher
Eduar Quinonez,Tampa Bay Rays,2013,RHP,Lo A,eduar,quinonez,pitcher
Wilking Rodriguez*,Tampa Bay Rays,2013,RHP,Hi A,wilking,rodriguez*,pitcher
Juan Sandoval,Tampa Bay Rays,2013,RHP,AAA,juan,sandoval,pitcher
Albert Suarez,Tampa Bay Rays,2013,RHP,AA,albert,suarez,pitcher
Joe Van Meter,Tampa Bay Rays,2013,RHP,AA,joe,van meter,pitcher
Mayobanex Acosta,Tampa Bay Rays,2013,C,AA,mayobanex,acosta,batter
Craig Albernaz,Tampa Bay Rays,2013,C,AAA,craig,albernaz,batter
Jesus Flores,Tampa Bay Rays,2013,C,AAA,jesus,flores,batter
Mark Thomas,Tampa Bay Rays,2013,C,AA,mark,thomas,batter
Mike Fontenot,Tampa Bay Rays,2013,2B,AAA,mike,fontenot,batter
Robi Estrada,Tampa Bay Rays,2013,SS,AA,robi,estrada,batter
Shawn O’Malley,Tampa Bay Rays,2013,SS,AAA,shawn,o’malley,batter
Evan Frey,Tampa Bay Rays,2013,OF,AAA,evan,frey,batter
Freddy Guzman,Tampa Bay Rays,2013,OF,AAA,freddy,guzman,batter
K.D. Kang,Tampa Bay Rays,2013,OF,AA,k.d.,kang,batter
Rich Thompson,Tampa Bay Rays,2013,OF,AAA,rich,thompson,batter
Collin Balester,Texas Rangers,2013,RHP,AAA,collin,balester,pitcher
Jake Brigham,Texas Rangers,2013,RHP,AAA,jake,brigham,pitcher
Evan Meek,Texas Rangers,2013,RHP,AAA,evan,meek,pitcher
Carlos Pimentel,Texas Rangers,2013,RHP,AAA,carlos,pimentel,pitcher
Scott Richmond,Texas Rangers,2013,RHP,AAA,scott,richmond,pitcher
Ross Wolf,Texas Rangers,2013,RHP,AAA,ross,wolf,pitcher
Johan Yan,Texas Rangers,2013,RHP,AAA,johan,yan,pitcher
Travis Blackley,Texas Rangers,2013,LHP,AAA,travis,blackley,pitcher
Ryan Feierabend,Texas Rangers,2013,LHP,AAA,ryan,feierabend,pitcher
Nate Robertson,Texas Rangers,2013,LHP,AAA,nate,robertson,pitcher
Alejandro Selen,Texas Rangers,2013,2B,Lo A,alejandro,selen,batter
Yangervis Solarte,Texas Rangers,2013,2B,AAA,yangervis,solarte,batter
Taylor Wrenn,Texas Rangers,2013,2B,R,taylor,wrenn,batter
Brendan Harris,Texas Rangers,2013,3B,AAA,brendan,harris,batter
Joe Benson,Texas Rangers,2013,OF,AAA,joe,benson,batter
Chih-Hsien Chiang,Texas Rangers,2013,OF,AA,chih-hsien,chiang,batter
Aaron Cunningham,Texas Rangers,2013,OF,AAA,aaron,cunningham,batter
Kalian Sams,Texas Rangers,2013,OF,AA,kalian,sams,batter
Chad Beck,Toronto Blue Jays,2013,RHP,AA,chad,beck,pitcher
Tyson Brummett,Toronto Blue Jays,2013,RHP,AA,tyson,brummett,pitcher
Buddy Carlyle,Toronto Blue Jays,2013,RHP,AAA,buddy,carlyle,pitcher
Joel Carreno,Toronto Blue Jays,2013,RHP,AAA,joel,carreno,pitcher
Alan Farina,Toronto Blue Jays,2013,RHP,AA,alan,farina,pitcher
Marcus Walden,Toronto Blue Jays,2013,RHP,AA,marcus,walden,pitcher
Willie Collazo*,Toronto Blue Jays,2013,LHP,AA,willie,collazo*,pitcher
Juan Perez,Toronto Blue Jays,2013,LHP,AAA,juan,perez,pitcher
Brian Compton,Toronto Blue Jays,2013,C,Lo A,brian,compton,batter
Luis A. Jimenez,Toronto Blue Jays,2013,1B,AAA,luis,a. jimenez,batter
Clint Robinson,Toronto Blue Jays,2013,1B,AAA,clint,robinson,batter
Jon Talley,Toronto Blue Jays,2013,1B,AA,jon,talley,batter
Daniel Arcila,Toronto Blue Jays,2013,2B,SS,daniel,arcila,batter
Oliver Dominguez,Toronto Blue Jays,2013,2B,Hi A,oliver,dominguez,batter
Jim Negrych,Toronto Blue Jays,2013,2B,AAA,jim,negrych,batter
John Tolisano,Toronto Blue Jays,2013,2B,AA,john,tolisano,batter
Lance Zawadzki,Toronto Blue Jays,2013,2B,AA,lance,zawadzki,batter
Kevin Ahrens,Toronto Blue Jays,2013,3B,AA,kevin,ahrens,batter
Mike McCoy,Toronto Blue Jays,2013,SS,AAA,mike,mccoy,batter
Amadeo Zazueta,Toronto Blue Jays,2013,SS,AA,amadeo,zazueta,batter
Blake Gailen,Toronto Blue Jays,2013,OF,AAA,blake,gailen,batter
Adam Loewen,Toronto Blue Jays,2013,OF,AA,adam,loewen,batter
Ricardo Nanita,Toronto Blue Jays,2013,OF,AAA,ricardo,nanita,batter
Mike Broadway,Washington Nationals,2013,RHP,AAA,mike,broadway,pitcher
Brian Broderick,Washington Nationals,2013,RHP,Hi A,brian,broderick,pitcher
Caleb Clay,Washington Nationals,2013,RHP,AAA,caleb,clay,pitcher
Mike Crotta,Washington Nationals,2013,RHP,AAA,mike,crotta,pitcher
Cole Kimball,Washington Nationals,2013,RHP,AAA,cole,kimball,pitcher
Jeff Mandel,Washington Nationals,2013,RHP,AAA,jeff,mandel,pitcher
Ryan Tatusko,Washington Nationals,2013,RHP,AAA,ryan,tatusko,pitcher
Chris Young,Washington Nationals,2013,RHP,AAA,chris,young,pitcher
Bill Bray,Washington Nationals,2013,LHP,AA,bill,bray,pitcher
Patrick McCoy,Washington Nationals,2013,LHP,AA,patrick,mccoy,pitcher
Josh Smoker*,Washington Nationals,2013,LHP,Hi A,josh,smoker*,pitcher
Brian Jeroloman,Washington Nationals,2013,C,AA,brian,jeroloman,batter
Carlos Maldonado,Washington Nationals,2013,C,AAA,carlos,maldonado,batter
Sean McCauley*,Washington Nationals,2013,C,Hi A,sean,mccauley*,batter
Beau Seabury*,Washington Nationals,2013,C,Hi A,beau,seabury*,batter
Chris Marrero,Washington Nationals,2013,1B,AAA,chris,marrero,batter
Jimmy VanOstrand,Washington Nationals,2013,1B,AAA,jimmy,vanostrand,batter
Michael Gilmartin,Washington Nationals,2013,2B,Hi A,michael,gilmartin,batter
Will Rhymes,Washington Nationals,2013,2B,AAA,will,rhymes,batter
Carlos Alvarez,Washington Nationals,2013,3B,Lo A,carlos,alvarez,batter
Melvin Dorta*,Washington Nationals,2013,3B,AA,melvin,dorta*,batter
Carlos Rivero,Washington Nationals,2013,3B,AA,carlos,rivero,batter
Josh R. Johnson,Washington Nationals,2013,SS,AAA,josh,r. johnson,batter
Jerad Head,Washington Nationals,2013,OF,AA,jerad,head,batter
Jason Michaels*,Washington Nationals,2013,OF,AAA,jason,michaels*,batter
Chris Rahl,Washington Nationals,2013,OF,AAA,chris,rahl,batter
Eric Brooks,Arizona Diamondbacks,2014,RHP,SS,eric,brooks,pitcher
Graham Godfrey,Arizona Diamondbacks,2014,RHP,AA,graham,godfrey,pitcher
Kameron Loe,Arizona Diamondbacks,2014,RHP,AAA,kameron,loe,pitcher
Mark Serrano,Arizona Diamondbacks,2014,RHP,AAA,mark,serrano,pitcher
Jess Todd,Arizona Diamondbacks,2014,RHP,AAA,jess,todd,pitcher
Bryan Woodall,Arizona Diamondbacks,2014,RHP,AA,bryan,woodall,pitcher
Kyle Anderson,Arizona Diamondbacks,2014,LHP,SS,kyle,anderson,pitcher
Spencer Arroyo,Arizona Diamondbacks,2014,LHP,Hi A,spencer,arroyo,pitcher
Jose Jose,Arizona Diamondbacks,2014,LHP,Lo A,jose,jose,pitcher
Joe Paterson,Arizona Diamondbacks,2014,LHP,AAA,joe,paterson,pitcher
Clayton Richard,Arizona Diamondbacks,2014,LHP,AA,clayton,richard,pitcher
Santos Rodriguez,Arizona Diamondbacks,2014,LHP,AA,santos,rodriguez,pitcher
Blake Lalli,Arizona Diamondbacks,2014,C,AAA,blake,lalli,batter
Dallas Tarleton,Arizona Diamondbacks,2014,C,AA,dallas,tarleton,batter
Mike Jacobs,Arizona Diamondbacks,2014,1B,AAA,mike,jacobs,batter
Gerson Montilla,Arizona Diamondbacks,2014,2B,AA,gerson,montilla,batter
Argenis Diaz,Arizona Diamondbacks,2014,SS,AAA,argenis,diaz,batter
Aaron Cunningham,Arizona Diamondbacks,2014,OF,AAA,aaron,cunningham,batter
Dustin Martin,Arizona Diamondbacks,2014,OF,AA,dustin,martin,batter
Mitch Atkins,Atlanta Braves,2014,RHP,AA,mitch,atkins,pitcher
Terry Doyle,Atlanta Braves,2014,RHP,AAA,terry,doyle,pitcher
Zach Stewart,Atlanta Braves,2014,RHP,AAA,zach,stewart,pitcher
Ryan Buchter,Atlanta Braves,2014,LHP,AAA,ryan,buchter,pitcher
Atahualpa Severino,Atlanta Braves,2014,LHP,AAA,atahualpa,severino,pitcher
Steve Lerud,Atlanta Braves,2014,C,AAA,steve,lerud,batter
Anthony Nunez,Atlanta Braves,2014,C,Hi A,anthony,nunez,batter
Rich Poythress,Atlanta Braves,2014,1B,AA,rich,poythress,batter
Donnie Murphy,Atlanta Braves,2014,2B,AAA,donnie,murphy,batter
Sean Kazmar,Atlanta Braves,2014,SS,AAA,sean,kazmar,batter
Ozzie Martinez,Atlanta Braves,2014,SS,AAA,ozzie,martinez,batter
Gustavo Nunez,Atlanta Braves,2014,SS,AA,gustavo,nunez,batter
Brandon Boggs,Atlanta Braves,2014,OF,AAA,brandon,boggs,batter
Jose Martinez,Atlanta Braves,2014,OF,Hi A,jose,martinez,batter
Jesse Beal,Baltimore Orioles,2014,RHP,Hi A,jesse,beal,pitcher
Matt Bischoff,Baltimore Orioles,2014,RHP,AAA,matt,bischoff,pitcher
Robert Coello,Baltimore Orioles,2014,RHP,AAA,robert,coello,pitcher
Oliver Drake,Baltimore Orioles,2014,RHP,AA,oliver,drake,pitcher
Eddie Gamboa,Baltimore Orioles,2014,RHP,AA,eddie,gamboa,pitcher
Steven Hensley,Baltimore Orioles,2014,RHP,AA,steven,hensley,pitcher
Brock Huntzinger,Baltimore Orioles,2014,RHP,AAA,brock,huntzinger,pitcher
Steve Johnson,Baltimore Orioles,2014,RHP,AAA,steve,johnson,pitcher
Evan Meek,Baltimore Orioles,2014,RHP,AAA,evan,meek,pitcher
Ramon Ramirez,Baltimore Orioles,2014,RHP,AAA,ramon,ramirez,pitcher
Nick Additon,Baltimore Orioles,2014,LHP,AA,nick,additon,pitcher
Jason Gurka,Baltimore Orioles,2014,LHP,AA,jason,gurka,pitcher
Chris Jones,Baltimore Orioles,2014,LHP,AAA,chris,jones,pitcher
Jorge Rivera,Baltimore Orioles,2014,LHP,Lo A,jorge,rivera,pitcher
Anthony Vasquez,Baltimore Orioles,2014,LHP,AA,anthony,vasquez,pitcher
Chris Marrero,Baltimore Orioles,2014,1B,AA,chris,marrero,batter
Buck Britton,Baltimore Orioles,2014,2B,AA,buck,britton,batter
Tom DiBenedetto,Baltimore Orioles,2014,2B,AA,tom,dibenedetto,batter
David Adams,Baltimore Orioles,2014,3B,AA,david,adams,batter
Michael Almanzar,Baltimore Orioles,2014,3B,AAA,michael,almanzar,batter
Niuman Romero,Baltimore Orioles,2014,SS,AA,niuman,romero,batter
Sharlon Schoop,Baltimore Orioles,2014,SS,AA,sharlon,schoop,batter
Ronald Bermudez,Baltimore Orioles,2014,OF,AA,ronald,bermudez,batter
Julio Borbon,Baltimore Orioles,2014,OF,AAA,julio,borbon,batter
Chih-Hsien Chiang,Baltimore Orioles,2014,OF,Hi A,chih-hsien,chiang,batter
K.D. Kang,Baltimore Orioles,2014,OF,AA,k.d.,kang,batter
Francisco Peguero,Baltimore Orioles,2014,OF,AAA,francisco,peguero,batter
Wilfredo Boscan,Boston Red Sox,2014,RHP,AA,wilfredo,boscan,pitcher
John Ely,Boston Red Sox,2014,RHP,AA,john,ely,pitcher
Pete Ruiz,Boston Red Sox,2014,RHP,AA,pete,ruiz,pitcher
Jose Valdez,Boston Red Sox,2014,RHP,AAA,jose,valdez,pitcher
Raynel Velette,Boston Red Sox,2014,RHP,Lo A,raynel,velette,pitcher
Brayan Villarreal,Boston Red Sox,2014,RHP,AAA,brayan,villarreal,pitcher
Ryan Verdugo,Boston Red Sox,2014,LHP,AAA,ryan,verdugo,pitcher
Carson Blair,Boston Red Sox,2014,C,AA,carson,blair,batter
Leonel Escobar,Boston Red Sox,2014,C,Hi A,leonel,escobar,batter
Eddy Rodriguez,Boston Red Sox,2014,C,Hi A,eddy,rodriguez,batter
Brandon Snyder,Boston Red Sox,2014,1B,AAA,brandon,snyder,batter
Stefan Welch,Boston Red Sox,2014,1B,AA,stefan,welch,batter
Justin Henry,Boston Red Sox,2014,2B,AAA,justin,henry,batter
Mario Martinez,Boston Red Sox,2014,3B,Hi A,mario,martinez,batter
Ivan De Jesus Jr.,Boston Red Sox,2014,SS,AAA,ivan,de jesus jr.,batter
Ryan Dent,Boston Red Sox,2014,SS,AA,ryan,dent,batter
Derrik Gibson,Boston Red Sox,2014,SS,AAA,derrik,gibson,batter
Jonathan Herrera,Boston Red Sox,2014,SS,AAA,jonathan,herrera,batter
Mike McCoy,Boston Red Sox,2014,SS,AAA,mike,mccoy,batter
Heiker Meneses,Boston Red Sox,2014,SS,AA,heiker,meneses,batter
Pete Hissey,Boston Red Sox,2014,OF,AA,pete,hissey,batter
Alberto Cabrera,Chicago Cubs,2014,RHP,AAA,alberto,cabrera,pitcher
Lendy Castillo,Chicago Cubs,2014,RHP,AA,lendy,castillo,pitcher
Eduardo Figueroa,Chicago Cubs,2014,RHP,Hi A,eduardo,figueroa,pitcher
Marcus Hatley,Chicago Cubs,2014,RHP,AAA,marcus,hatley,pitcher
Marcos Mateo,Chicago Cubs,2014,RHP,AAA,marcos,mateo,pitcher
Carlos Pimentel,Chicago Cubs,2014,RHP,AAA,carlos,pimentel,pitcher
Dae-Eun Rhee,Chicago Cubs,2014,RHP,AAA,dae-eun,rhee,pitcher
Charlie Cutler,Chicago Cubs,2014,C,AA,charlie,cutler,batter
Nathan Maldonado,Chicago Cubs,2014,C,Hi A,nathan,maldonado,batter
Lars Anderson,Chicago Cubs,2014,1B,AA,lars,anderson,batter
Edgar Gonzalez,Chicago Cubs,2014,2B,AAA,edgar,gonzalez,batter
Jonathan Mota,Chicago Cubs,2014,2B,AAA,jonathan,mota,batter
Chris Valaika,Chicago Cubs,2014,2B,AAA,chris,valaika,batter
Manny Ramirez,Chicago Cubs,2014,OF,AAA,manny,ramirez,batter
Josh Vitters,Chicago Cubs,2014,OF,AAA,josh,vitters,batter
David Cales,Chicago White Sox,2014,RHP,AA,david,cales,pitcher
Parker Frazier,Chicago White Sox,2014,RHP,AA,parker,frazier,pitcher
Tommy Hanson,Chicago White Sox,2014,RHP,AAA,tommy,hanson,pitcher
Terance Marin,Chicago White Sox,2014,RHP,AA,terance,marin,pitcher
Daniel McCutchen,Chicago White Sox,2014,RHP,AAA,daniel,mccutchen,pitcher
Nestor Molina,Chicago White Sox,2014,RHP,AA,nestor,molina,pitcher
Chien-Ming Wang,Chicago White Sox,2014,RHP,AAA,chien-ming,wang,pitcher
Matt Zaleski,Chicago White Sox,2014,RHP,AAA,matt,zaleski,pitcher
Frank de los Santos,Chicago White Sox,2014,LHP,AAA,frank,de los santos,pitcher
Nelvin Fuentes,Chicago White Sox,2014,LHP,AA,nelvin,fuentes,pitcher
Mauricio Robles,Chicago White Sox,2014,LHP,AAA,mauricio,robles,pitcher
Juan Rodriguez,Chicago White Sox,2014,LHP,DSL,juan,rodriguez,pitcher
Donnie Veal,Chicago White Sox,2014,LHP,AAA,donnie,veal,pitcher
Miguel Gonzalez,Chicago White Sox,2014,C,AAA,miguel,gonzalez,batter
Christian Marrero,Chicago White Sox,2014,OF,AA,christian,marrero,batter
Matt Tuiasosopo,Chicago White Sox,2014,OF,AAA,matt,tuiasosopo,batter
Fabio Castillo,Cincinnati Reds,2014,RHP,AAA,fabio,castillo,pitcher
Shane Dyer,Cincinnati Reds,2014,RHP,AA,shane,dyer,pitcher
Justin Freeman,Cincinnati Reds,2014,RHP,AAA,justin,freeman,pitcher
Edgar Gonzalez,Cincinnati Reds,2014,RHP,AAA,edgar,gonzalez,pitcher
Brett Marshall,Cincinnati Reds,2014,RHP,AAA,brett,marshall,pitcher
Mikey O’Brien,Cincinnati Reds,2014,RHP,AA,mikey,o’brien,pitcher
Radhames Quezada,Cincinnati Reds,2014,RHP,AA,radhames,quezada,pitcher
Scott Diamond,Cincinnati Reds,2014,LHP,AAA,scott,diamond,pitcher
Fabian Williamson,Cincinnati Reds,2014,LHP,AA,fabian,williamson,pitcher
Lou Marson,Cincinnati Reds,2014,C,AA,lou,marson,batter
Corky Miller,Cincinnati Reds,2014,C,AAA,corky,miller,batter
Rossmel Perez,Cincinnati Reds,2014,C,AAA,rossmel,perez,batter
Mike Costanzo,Cincinnati Reds,2014,1B,AAA,mike,costanzo,batter
Travis Mattair,Cincinnati Reds,2014,1B,AA,travis,mattair,batter
Ray Chang,Cincinnati Reds,2014,2B,AA,ray,chang,batter
Jake Elmore,Cincinnati Reds,2014,2B,AAA,jake,elmore,batter
Ruben Gotay,Cincinnati Reds,2014,2B,AAA,ruben,gotay,batter
Hernan Iribarren,Cincinnati Reds,2014,2B,AAA,hernan,iribarren,batter
Juan Silverio,Cincinnati Reds,2014,3B,AA,juan,silverio,batter
Marquez Smith,Cincinnati Reds,2014,3B,Hi A,marquez,smith,batter
Neftali Soto,Cincinnati Reds,2014,3B,AAA,neftali,soto,batter
Rey Navarro,Cincinnati Reds,2014,SS,AAA,rey,navarro,batter
Thomas Neal,Cincinnati Reds,2014,OF,AAA,thomas,neal,batter
Gabriel Arias,Cleveland Indians,2014,RHP,AA,gabriel,arias,pitcher
Matt Capps,Cleveland Indians,2014,RHP,AAA,matt,capps,pitcher
Kyle Davies,Cleveland Indians,2014,RHP,AAA,kyle,davies,pitcher
Shaun Marcum,Cleveland Indians,2014,RHP,AAA,shaun,marcum,pitcher
Adam Miller,Cleveland Indians,2014,RHP,AAA,adam,miller,pitcher
J.C. Ramirez,Cleveland Indians,2014,RHP,AAA,j.c.,ramirez,pitcher
