player_name,team,fa_class,position,minor_league_level,first_name_lower,last_name_lower,normed_position
Drew Sutton,Boston Red Sox,2013,2B,AAA,drew,sutton,batter
Tony Thomas,Boston Red Sox,2013,2B,AAA,tony,thomas,batter
Mario Martinez,Boston Red Sox,2013,3B,Lo A,mario,martinez,batter
Jonathan Diaz,Boston Red Sox,2013,SS,AAA,jonathan,diaz,batter
Vladimir Frias,Boston Red Sox,2013,SS,Hi A,vladimir,frias,batter
Ronald Bermudez,Boston Red Sox,2013,OF,AA,ronald,bermudez,batter
Quintin Berry,Boston Red Sox,2013,OF,AAA,quintin,berry,batter
Mitch Maier,Boston Red Sox,2013,OF,AAA,mitch,maier,batter
Alex Burnett,Chicago Cubs,2013,RHP,AAA,alex,burnett,pitcher
Yeiper Castillo,Chicago Cubs,2013,RHP,AA,yeiper,castillo,pitcher
Jaye Chapman,Chicago Cubs,2013,RHP,AAA,jaye,chapman,pitcher
Johermyn Chavez,Chicago Cubs,2013,RHP,R,johermyn,chavez,pitcher
Rafael Dolis,Chicago Cubs,2013,RHP,AAA,rafael,dolis,pitcher
Zach Putnam,Chicago Cubs,2013,RHP,AAA,zach,putnam,pitcher
Henry Rodriguez,Chicago Cubs,2013,RHP,AAA,henry,rodriguez,pitcher
Casey Weathers*,Chicago Cubs,2013,RHP,AA,casey,weathers*,pitcher
Jeffry Antigua,Chicago Cubs,2013,LHP,AAA,jeffry,antigua,pitcher
Kyler Burke,Chicago Cubs,2013,LHP,HI A,kyler,burke,pitcher
Nathan Maldonado,Chicago Cubs,2013,C,Lo A,nathan,maldonado,batter
Brad Nelson,Chicago Cubs,2013,1B,AAA,brad,nelson,batter
Nate Samson,Chicago Cubs,2013,2B,AA,nate,samson,batter
Edwin Maysonet,Chicago Cubs,2013,SS,AAA,edwin,maysonet,batter
Tim Torres,Chicago Cubs,2013,SS,AAA,tim,torres,batter
Cole Gillespie,Chicago Cubs,2013,OF,AAA,cole,gillespie,batter
Ty Wright,Chicago Cubs,2013,OF,AAA,ty,wright,batter
Jason Berken,Chicago White Sox,2013,RHP,AAA,jason,berken,pitcher
Scott Carroll,Chicago White Sox,2013,RHP,AA,scott,carroll,pitcher
Simon Castro,Chicago White Sox,2013,RHP,AAA,simon,castro,pitcher
Johansel Delgado,Chicago White Sox,2013,RHP,DSL,johansel,delgado,pitcher
Jhan Marinez,Chicago White Sox,2013,RHP,AAA,jhan,marinez,pitcher
Travis Ishikawa,Chicago White Sox,2013,1B,AAA,travis,ishikawa,batter
Steve Tolleson,Chicago White Sox,2013,SS,AAA,steve,tolleson,batter
Jimmy Gallagher,Chicago White Sox,2013,OF,AAA,jimmy,gallagher,batter
Trevor Bell,Cincinnati Reds,2013,RHP,AAA,trevor,bell,pitcher
Parker Frazier,Cincinnati Reds,2013,RHP,AA,parker,frazier,pitcher
Yohan Pino,Cincinnati Reds,2013,RHP,AAA,yohan,pino,pitcher
Kanekoa Texeira,Cincinnati Reds,2013,RHP,AAA,kanekoa,texeira,pitcher
Loek Van Mil,Cincinnati Reds,2013,RHP,AAA,loek,van mil,pitcher
Kevin Whelan,Cincinnati Reds,2013,RHP,AAA,kevin,whelan,pitcher
Lee Hyde,Cincinnati Reds,2013,LHP,AA,lee,hyde,pitcher
Nevin Ashley,Cincinnati Reds,2013,C,AAA,nevin,ashley,batter
Matt Kennelly,Cincinnati Reds,2013,C,AAA,matt,kennelly,batter
Mike Hessman,Cincinnati Reds,2013,1B,AAA,mike,hessman,batter
Jason Donald,Cincinnati Reds,2013,2B,AAA,jason,donald,batter
Corey Wimberly,Cincinnati Reds,2013,2B,AA,corey,wimberly,batter
Emmanuel Burriss,Cincinnati Reds,2013,SS,AAA,emmanuel,burriss,batter
Denis Phipps,Cincinnati Reds,2013,OF,AAA,denis,phipps,batter
Brandon Short,Cincinnati Reds,2013,OF,AA,brandon,short,batter
Rob Bryson,Cleveland Indians,2013,RHP,AA,rob,bryson,pitcher
Paolo Espino,Cleveland Indians,2013,RHP,AAA,paolo,espino,pitcher
Jose Flores,Cleveland Indians,2013,RHP,AA,jose,flores,pitcher
Jerry Gil,Cleveland Indians,2013,RHP,AAA,jerry,gil,pitcher
Francisco Jimenez,Cleveland Indians,2013,LHP,AA,francisco,jimenez,pitcher
J.C. Romero,Cleveland Indians,2013,LHP,AAA,j.c.,romero,pitcher
Matt Colantonio,Cleveland Indians,2013,C,AAA,matt,colantonio,batter
Matt LaPorta,Cleveland Indians,2013,1B,AAA,matt,laporta,batter
Luis Hernandez,Cleveland Indians,2013,2B,AAA,luis,hernandez,batter
Nate Spears,Cleveland Indians,2013,2B,AAA,nate,spears,batter
Juan Diaz,Cleveland Indians,2013,SS,AAA,juan,diaz,batter
Ezequiel Carrera,Cleveland Indians,2013,OF,AAA,ezequiel,carrera,batter
