player_name,team,fa_class,position
Caleb Baragar,Arizona Diamondbacks,2023,LHP
Leandro Cedeno,Arizona Diamondbacks,2023,OF
Eduardo Diaz,Arizona Diamondbacks,2023,OF
Grayson Greiner,Arizona Diamondbacks,2023,C
Kenny Hernandez,Arizona Diamondbacks,2023,LHP
Mack Lemieux,Arizona Diamondbacks,2023,LHP
Drew Stankiewicz,Arizona Diamondbacks,2023,SS
Cole Tucker,Arizona Diamondbacks,2023,RF
Andy Yerzy,Arizona Diamondbacks,2023,C
R.J. Alaniz,Atlanta Braves,2023,RHP
Thomas Burrows,Atlanta Braves,2023,LHP
Corbin Clouse,Atlanta Braves,2023,LHP
Jordan Cowan,Atlanta Braves,2023,SS
Jason Creasy,Atlanta Braves,2023,RHP
Victor De Hoyos,Atlanta Braves,2023,C
Isrrael De La Cruz,Atlanta Braves,2023,RHP
Jasseel De La Cruz,Atlanta Braves,2023,RHP
Delino DeShields Jr.,Atlanta Braves,2023,LF
Tyler Ferguson,Atlanta Braves,2023,RHP
Yariel Gonzalez,Atlanta Braves,2023,2B
Odalvi Javier,Atlanta Braves,2023,RHP
Landon Leach,Atlanta Braves,2023,RHP
Justin Maese,Atlanta Braves,2023,RHP
Jake Marisnick,Atlanta Braves,2023,CF
Juan Mateo,Atlanta Braves,2023,RHP
Jalen Miller,Atlanta Braves,2023,2B
Taylor Motter,Atlanta Braves,2023,SS
Hernan Perez,Atlanta Braves,2023,IF
A.J. Puckett,Atlanta Braves,2023,RHP
Jefrey Ramos,Atlanta Braves,2023,OF
Zade Richardson,Atlanta Braves,2023,C
Cesar Rodriguez,Atlanta Braves,2023,C
Lisandro Santos,Atlanta Braves,2023,LHP
Preston Tucker,Atlanta Braves,2023,RF
Pat Valaika,Atlanta Braves,2023,2B
Braulio Vasquez,Atlanta Braves,2023,SS
Jacob Webb,Atlanta Braves,2023,RHP
Tyler White,Atlanta Braves,2023,1B
Andres Angulo,Baltimore Orioles,2023,C
Brett Cumberland,Baltimore Orioles,2023,C
Yusniel Diaz,Baltimore Orioles,2023,RF
Rico Garcia,Baltimore Orioles,2023,RHP
Chris Givin,Baltimore Orioles,2023,SS
Brenan Hanifee,Baltimore Orioles,2023,RHP
Matt Harvey,Baltimore Orioles,2023,RHP
Louis Head,Baltimore Orioles,2023,RHP
Jacob Nottingham,Baltimore Orioles,2023,C
D.J. Stewart,Baltimore Orioles,2023,RF
Alex Wells,Baltimore Orioles,2023,LHP
Pedro Castellanos,Boston Red Sox,2023,OF
Ricardo Cubillan,Boston Red Sox,2023,SS
Deivy Grullon,Boston Red Sox,2023,C
Kyle Hart,Boston Red Sox,2023,LHP
Geoff Hartlieb,Boston Red Sox,2023,RHP
Brian Keller,Boston Red Sox,2023,RHP
Brett Kennedy,Boston Red Sox,2023,RHP
Johan Mieses,Boston Red Sox,2023,OF
James Norwood,Boston Red Sox,2023,RHP
Jose Peraza,Boston Red Sox,2023,2B
Hudson Potts,Boston Red Sox,2023,3B
Sterling Sharp,Boston Red Sox,2023,RHP
Caleb Simpson,Boston Red Sox,2023,RHP
Christin Stewart,Boston Red Sox,2023,LF
