player_name,team,fa_class
Hansel Rodriguez,San Diego Padres,2021
Jason Vosler,San Diego Padres,2021
Cristhian Adames,San Francisco Giants,2021
Enderson Franco,San Francisco Giants,2021
Yapson Gomez,San Francisco Giants,2021
Zach Green,San Francisco Giants,2021
Tyler Heineman,San Francisco Giants,2021
Chris Herrmann,San Francisco Giants,2021
Jake Jewell,San Francisco Giants,2021
Jesus Liranzo,San Francisco Giants,2021
Luis Madero,San Francisco Giants,2021
Rodolfo Martinez,San Francisco Giants,2021
Sam Moll,San Francisco Giants,2021
Carlos Navas,San Francisco Giants,2021
Joey Rickard,San Francisco Giants,2021
Nolan Riggs,San Francisco Giants,2021
Jose Siri,San Francisco Giants,2021
Kean Wong,San Francisco Giants,2021
Gerson Bautista,Seattle Mariners,2021
Chasen Bradford,Seattle Mariners,2021
Seth Frankoff,Seattle Mariners,2021
Zac Grotz,Seattle Mariners,2021
Kevin Munson,Seattle Mariners,2021
Joe Odom,Seattle Mariners,2021
Johnny Santos,Seattle Mariners,2021
Ryan Scott,Seattle Mariners,2021
Liarvis Breto,St. Louis Cardinals,2021
Nabil Crismatt,St. Louis Cardinals,2021
Bryan Dobzanski,St. Louis Cardinals,2021
Jose Godoy,St. Louis Cardinals,2021
Derian Gonzalez,St. Louis Cardinals,2021
Kevin Herget,St. Louis Cardinals,2021
Rob Kaminsky,St. Louis Cardinals,2021
Andres Luna,St. Louis Cardinals,2021
Jose Martinez,St. Louis Cardinals,2021
Ricardo Sanchez,St. Louis Cardinals,2021
Blake Bivens,Tampa Bay Rays,2021
Eleardo Cabrera,Tampa Bay Rays,2021
Dylan Cozens,Tampa Bay Rays,2021
Johnny Davis,Tampa Bay Rays,2021
Jose Disla,Tampa Bay Rays,2021
Mike Franco,Tampa Bay Rays,2021
Sean Gilmartin,Tampa Bay Rays,2021
Grant Kay,Tampa Bay Rays,2021
Zacrey Law,Tampa Bay Rays,2021
Sam McWilliams,Tampa Bay Rays,2021
Jermaine Palacios,Tampa Bay Rays,2021
Rene Pinto,Tampa Bay Rays,2021
DJ Snelten,Tampa Bay Rays,2021
Isranel Wilson,Tampa Bay Rays,2021
Jim Adduci,Texas Rangers,2021
Kyle Bird,Texas Rangers,2021
Nick Ciutto,Texas Rangers,2021
Hunter Cole,Texas Rangers,2021
Tim Dillard,Texas Rangers,2021
Jerad Eickhoff,Texas Rangers,2021
Luke Farrell,Texas Rangers,2021
Tim Federowicz,Texas Rangers,2021
Derek Law,Texas Rangers,2021
Werner Leal,Texas Rangers,2021
Jesus Linarez,Texas Rangers,2021
Sal Mendez,Texas Rangers,2021
Yohander Mendez,Texas Rangers,2021
Josh Morgan,Texas Rangers,2021
Yohel Pozo,Texas Rangers,2021
Henry Ramos,Texas Rangers,2021
Yadiel Rivera,Texas Rangers,2021
Locke St. John,Texas Rangers,2021
Esmerling Vasquez,Texas Rangers,2021
Samir Vivas,Texas Rangers,2021
Collin Wiles,Texas Rangers,2021
Deiferson Barreto,Toronto Blue Jays,2021
Andrew Burns,Toronto Blue Jays,2021
Patrick Cantwell,Toronto Blue Jays,2021
Ryan Dull,Toronto Blue Jays,2021
James Dykstra,Toronto Blue Jays,2021
Conor Fisk,Toronto Blue Jays,2021
Gabriel Guerrero,Toronto Blue Jays,2021
Mac James,Toronto Blue Jays,2021
Jesus Lopez,Toronto Blue Jays,2021
Mike Nittoli,Toronto Blue Jays,2021
Juan Nunez,Toronto Blue Jays,2021
Norberto Obeso,Toronto Blue Jays,2021
Willy Ortiz,Toronto Blue Jays,2021
Connor Overton,Toronto Blue Jays,2021
Tom Pannone,Toronto Blue Jays,2021
Luis Silva,Toronto Blue Jays,2021
Mitchell Walding,Toronto Blue Jays,2021
Forrest Wall,Toronto Blue Jays,2021
Rafael Bautista,Washington Nationals,2021
James Bourque,Washington Nationals,2021
Welington Castillo,Washington Nationals,2021
Bengie Gonzalez,Washington Nationals,2021
Angel Guillen,Washington Nationals,2021
Taylor Gushue,Washington Nationals,2021
Jake Lowery,Washington Nationals,2021
Matt Reistetter,Washington Nationals,2021
Adderling Ruiz,Washington Nationals,2021
Austen Williams,Washington Nationals,2021
Jacob Wilson,Washington Nationals,2021
