player_name,team,fa_class,position,minor_league_level
Tyler Badamo,Arizona Diamondbacks,2018,RHP,SS
J.R. Bradley,Arizona Diamondbacks,2018,RHP,AA
Erik Davis,Arizona Diamondbacks,2018,RHP,AAA
Damian Defrank,Arizona Diamondbacks,2018,RHP,R
Miller Diaz,Arizona Diamondbacks,2018,RHP,AA
Julio Perez,Arizona Diamondbacks,2018,RHP,Lo A
Ivan Pineyro,Arizona Diamondbacks,2018,RHP,AA
Tyler Vail,Arizona Diamondbacks,2018,RHP,SS
Eric Jokisch,Arizona Diamondbacks,2018,LHP,AAA
Aaron Laffey,Arizona Diamondbacks,2018,LHP,AAA
Cesilio Pimentel,Arizona Diamondbacks,2018,LHP,R
Willians Astudillo,Arizona Diamondbacks,2018,C,AAA
Oscar Hernandez,Arizona Diamondbacks,2018,C,AA
Angel Franco,Arizona Diamondbacks,2018,2B,AAA
Danny Lockhart,Arizona Diamondbacks,2018,2B,AA
Travis Denker,Arizona Diamondbacks,2018,3B,AA
Jorge Flores,Arizona Diamondbacks,2018,SS,Hi A
Vladimir Frias,Arizona Diamondbacks,2018,SS,AA
Oswaldo Arcia,Arizona Diamondbacks,2018,OF,AAA
Emilio Bonifacio,Arizona Diamondbacks,2018,OF,AAA
Zach Borenstein,Arizona Diamondbacks,2018,OF,AAA
Kelly Dugan,Arizona Diamondbacks,2018,OF,AA
Enrique Burgos,Atlanta Braves,2018,RHP,AAA
Rhiner Cruz,Atlanta Braves,2018,RHP,AAA
Kris Medlen,Atlanta Braves,2018,RHP,AAA
Danny Reynolds,Atlanta Braves,2018,RHP,AAA
Joe Rogers,Atlanta Braves,2018,LHP,Hi A
Joey Meneses,Atlanta Braves,2018,1B,AA
Kyle Kubitza,Atlanta Braves,2018,3B,AAA
Sean Kazmar,Atlanta Braves,2018,SS,AAA
Emerson Landoni,Atlanta Braves,2018,SS,AAA
Matt Tuiasosopo,Atlanta Braves,2018,OF,AAA
Nate Adcock,Baltimore Orioles,2018,RHP,AAA
Andrew Bellatti,Baltimore Orioles,2018,RHP,AAA
Bobby Bundy,Baltimore Orioles,2018,RHP,AAA
Jason Garcia,Baltimore Orioles,2018,RHP,AA
Jefri Hernandez,Baltimore Orioles,2018,RHP,AA
Scott McGough,Baltimore Orioles,2018,RHP,AA
Richard Rodriguez,Baltimore Orioles,2018,RHP,AAA
Franderlin Romero,Baltimore Orioles,2018,RHP,AA
Karl Triana,Baltimore Orioles,2018,RHP,AA
Austin Urban,Baltimore Orioles,2018,RHP,AA
Tyler Wilson,Baltimore Orioles,2018,RHP,AAA
Jayson Aquino,Baltimore Orioles,2018,LHP,AAA
Tim Berry,Baltimore Orioles,2018,LHP,AA
Andrew Faulkner,Baltimore Orioles,2018,LHP,AAA
Raudel Lazo,Baltimore Orioles,2018,LHP,AA
Lucas Luetge,Baltimore Orioles,2018,LHP,AAA
Paco Rodriguez,Baltimore Orioles,2018,LHP,AAA
Chris O’Brien,Baltimore Orioles,2018,C,AAA
Audry Perez,Baltimore Orioles,2018,C,AA
Aderlin Rodriguez,Baltimore Orioles,2018,1B,AA
Sharlon Schoop,Baltimore Orioles,2018,2B,AAA
Alex Castellanos,Baltimore Orioles,2018,3B,AAA
Chris Johnson,Baltimore Orioles,2018,3B,AAA
Garabez Rosa,Baltimore Orioles,2018,3B,AA
Robert Andino,Baltimore Orioles,2018,SS,AAA
Glynn Davis,Baltimore Orioles,2018,OF,AA
Chris Dickerson,Baltimore Orioles,2018,OF,AAA
Logan Schafer,Baltimore Orioles,2018,OF,AAA
David Washington,Baltimore Orioles,2018,OF,AAA
Jacob Dahlstrand,Boston Red Sox,2018,RHP,AA
Shawn Haviland,Boston Red Sox,2018,RHP,AAA
Mitchell Osnowitz,Boston Red Sox,2018,RHP,SS
Elih Villanueva,Boston Red Sox,2018,RHP,AA
Edgar Olmos,Boston Red Sox,2018,LHP,AAA
Dan Butler,Boston Red Sox,2018,C,AAA
Tim Roberson,Boston Red Sox,2018,C,AAA
Conrad Gregor,Boston Red Sox,2018,1B,Hi A
Heiker Meneses,Boston Red Sox,2018,2B,AAA
Matt Dominguez,Boston Red Sox,2018,3B,AAA
Mike Olt,Boston Red Sox,2018,3B,AA
Ryan Court,Boston Red Sox,2018,SS,AAA
Brian Bogusevic,Boston Red Sox,2018,OF,AAA
Steve Selsky,Boston Red Sox,2018,OF,AAA
Henry Urrutia,Boston Red Sox,2018,OF,AA
Scott Carroll,Chicago Cubs,2018,RHP,AAA
Williams Perez,Chicago Cubs,2018,RHP,AAA
Jemile Weeks,Chicago Cubs,2018,2B,AAA
Chris Dominguez,Chicago Cubs,2018,3B,AAA
Mike Freeman,Chicago Cubs,2018,SS,AAA
Ozzie Martinez,Chicago Cubs,2018,SS,AAA
Elliot Soto,Chicago Cubs,2018,SS,AAA
John Andreoli,Chicago Cubs,2018,OF,AAA
Ryan Kalish,Chicago Cubs,2018,OF,SS
Trey Martin,Chicago Cubs,2018,OF,AA
Steve Johnson,Chicago White Sox,2018,RHP,AAA
Kelvis Valerio,Chicago White Sox,2018,RHP,Hi A
Matt Purke,Chicago White Sox,2018,LHP,AAA
Scott Snodgress,Chicago White Sox,2018,LHP,AA
Roberto Pena,Chicago White Sox,2018,C,AAA
Ronald Bueno,Chicago White Sox,2018,2B,AAA
Tyler Ladendorf,Chicago White Sox,2018,2B,AAA
Jose Vinicio,Chicago White Sox,2018,SS,AA
Jason Bourgeois,Chicago White Sox,2018,OF,AAA
Hunter Jones,Chicago White Sox,2018,OF,AA
Geoff Broussard,Cincinnati Reds,2018,RHP,AA
Alejandro Chacin,Cincinnati Reds,2018,RHP,AAA
Carlos Gonzalez,Cincinnati Reds,2018,RHP,AAA
Vin Mazzaro,Cincinnati Reds,2018,RHP,AAA
Nefi Ogando,Cincinnati Reds,2018,RHP,AAA
Austin Ross,Cincinnati Reds,2018,RHP,AA
Robert Stock,Cincinnati Reds,2018,RHP,AA
Domingo Tapia,Cincinnati Reds,2018,RHP,AA
Ismael Guillon,Cincinnati Reds,2018,LHP,AAA
Jose Duarte,Cincinnati Reds,2018,C,AAA
Arismendy Alcantara,Cincinnati Reds,2018,2B,AA
Angelo Gumbs,Cincinnati Reds,2018,2B,AA
Hernan Iribarren,Cincinnati Reds,2018,2B,AAA
Juan Perez,Cincinnati Reds,2018,SS,AAA
Jonathan Reynoso,Cincinnati Reds,2018,OF,AA
Adam Brett Walker,Cincinnati Reds,2018,OF,AAA
Robbie Aviles,Cleveland Indians,2018,RHP,AA
Travis Banwart,Cleveland Indians,2018,RHP,AAA
Joe Colon,Cleveland Indians,2018,RHP,AAA
Carlos Frias,Cleveland Indians,2018,RHP,AAA
Perci Garner,Cleveland Indians,2018,RHP,AA
Jarrett Grube,Cleveland Indians,2018,RHP,AAA
Jeff Johnson,Cleveland Indians,2018,RHP,AAA
Enosil Tejeda,Cleveland Indians,2018,RHP,AAA
Tim Cooney,Cleveland Indians,2018,LHP,AAA
Luis Lugo,Cleveland Indians,2018,LHP,AA
Chris Narveson,Cleveland Indians,2018,LHP,AAA
Martin Cervenka,Cleveland Indians,2018,C,Hi A
Juan de la Cruz,Cleveland Indians,2018,C,AA
Adam Moore,Cleveland Indians,2018,C,AAA
Claudio Bautista,Cleveland Indians,2018,2B,Hi A
Michael Martinez,Cleveland Indians,2018,2B,AAA
Josh Wilson,Cleveland Indians,2018,2B,AAA
Yonathan Mendoza,Cleveland Indians,2018,SS,AA
Ronny Rodriguez,Cleveland Indians,2018,SS,AAA
David Lough,Cleveland Indians,2018,OF,AAA
Luigi Rodriguez,Cleveland Indians,2018,OF,AA
Jordan Smith,Cleveland Indians,2018,OF,AAA
Huascar Brazoban,Colorado Rockies,2018,RHP,AA
Barry Enright,Colorado Rockies,2018,RHP,AAA
Edison Frias,Colorado Rockies,2018,RHP,AA
Johendi Jiminian,Colorado Rockies,2018,RHP,AA
C.C. Lee,Colorado Rockies,2018,RHP,AAA
Luis Niebla,Colorado Rockies,2018,RHP,AA
Nick Additon,Colorado Rockies,2018,LHP,AA
Ryan Carpenter,Colorado Rockies,2018,LHP,AAA
Evan Grills,Colorado Rockies,2018,LHP,AA
Will Lamb,Colorado Rockies,2018,LHP,AA
Helmis Rodriguez,Colorado Rockies,2018,LHP,Hi A
Austin Wright,Colorado Rockies,2018,LHP,SS
Hamlet Marte,Colorado Rockies,2018,C,Hi A
Ryan Howard,Colorado Rockies,2018,1B,AAA
Rafael Ynoa,Colorado Rockies,2018,2B,AAA
Cristhian Adames,Colorado Rockies,2018,SS,AAA
Daniel Castro,Colorado Rockies,2018,SS,AAA
Juan Ciriaco,Colorado Rockies,2018,SS,AA
Wilson Soriano,Colorado Rockies,2018,SS,Hi A
Stephen Cardullo,Colorado Rockies,2018,OF,AAA
