internal_id,full_name,team,name_last,name_first,fa_class,key_fangraphs,mlb_played_first,mlb_played_last,position_cat,Season,Age,G,PA,TBF,played_in_fa_season,played_in_mlb,manual_check
3377,Kyle Kubat,CHW,kubat,kyle,2022-01-01,,,,pitcher,,,,,,false,false,
1473,Diego Cordero,STL,cordero,diego,2022-01-01,,,,pitcher,,,,,,false,false,
1137,Connor Lien,ATL,lien,connor,2020-01-01,,,,batter,,,,,,false,false,
1250,Daniel Amaral,COL,amaral,daniel,2024-01-01,,,,batter,,,,,,false,false,
564,Braeden Ogle,PIT,ogle,braeden,2024-01-01,,,,pitcher,,,,,,false,false,
5551,Yohan Pino,CIN,pino,yohan,2014-01-01,6955,2014-01-01,2015-01-01,pitcher,2014-01-01,30,11,0,,true,true,
5551,Yohan Pino,CIN,pino,yohan,2014-01-01,6955,2014-01-01,2015-01-01,pitcher,2015-01-01,31,7,0,,false,true,
5551,Yohan Pino,CIN,pino,yohan,2014-01-01,6955,2014-01-01,2015-01-01,pitcher,2014-01-01,30,11,,258,true,true,
5551,Yohan Pino,CIN,pino,yohan,2014-01-01,6955,2014-01-01,2015-01-01,pitcher,2015-01-01,31,7,,82,false,true,
2944,Jose Disla,TBR,disla,jose,2020-01-01,,,,pitcher,,,,,,false,false,
2094,Hector Gimenez,MIL,gimenez,hector,2015-01-01,,,,batter,,,,,,false,false,
2930,Jose Casilla,SFG,casilla,jose,2015-01-01,,,,pitcher,,,,,,false,false,
5404,Webster Rivas,LAD,rivas,webster,2016-01-01,14636,2021-01-01,2021-01-01,batter,2021-01-01,30,24,77,,false,true,
3951,Mike Broadway,TBR,broadway,mike,2019-01-01,9894,2015-01-01,2016-01-01,pitcher,2015-01-01,28,21,0,,false,true,
3951,Mike Broadway,TBR,broadway,mike,2019-01-01,9894,2015-01-01,2016-01-01,pitcher,2016-01-01,29,4,1,,false,true,
3951,Mike Broadway,TBR,broadway,mike,2019-01-01,9894,2015-01-01,2016-01-01,pitcher,2015-01-01,28,21,,77,false,true,
3951,Mike Broadway,TBR,broadway,mike,2019-01-01,9894,2015-01-01,2016-01-01,pitcher,2016-01-01,29,4,,25,false,true,
3261,Kelvin Nunez,SEA,nunez,kelvin,2024-01-01,,,,pitcher,,,,,,false,false,
2133,Hernan Perez,MIN,perez,hernan,2024-01-01,,,,batter,,,,,,false,false,
2054,Grenny Cumana,PHI,cumana,grenny,2021-01-01,,,,N/A,,,,,,false,false,
2977,Jose Martinez,STL,martinez,jose,2021-01-01,,,,N/A,,,,,,false,false,
4132,Nick Gallagher,CHW,gallagher,nick,2024-01-01,,,,pitcher,,,,,,false,false,
3085,Josh Smith,BOS,smith,josh,2019-01-01,13629,2019-01-01,2020-01-01,pitcher,2019-01-01,29,14,0,,true,true,
3085,Josh Smith,BOS,smith,josh,2019-01-01,13629,2019-01-01,2020-01-01,pitcher,2020-01-01,30,2,0,,false,true,
3085,Josh Smith,BOS,smith,josh,2019-01-01,13629,2019-01-01,2020-01-01,pitcher,2019-01-01,29,14,,64,true,true,
