internal_id,full_name,team,name_last,name_first,fa_class,key_fangraphs,key_bbref_minors,mlb_played_first,mlb_played_last,pro_played_first,pro_played_last,position_cat,chadwick_returned
3401,L.J. Hoes,BAL,Hoes,L. J.,2017,6656,hoes--001jer,2012,2015,2008,2017,batter,one
5611,Zach Kapstein,BAL,Kapstein,Zach,2017,,kapste001zac,,,2010,2016,batter,one
4391,Quincy Latimore,BAL,Latimore,Quincy,2017,,latimo001qui,,,2007,2024,batter,one
3655,Mario Alcantara,BOS,Alcantara,Mario,2017,,alcant001mar,,,2010,2017,pitcher,one
4006,Mitch Atkins,BOS,Atkins,Mitch,2017,8369,atkins001mit,2009,2011,2004,2023,pitcher,one
3245,Keith Couch,BOS,Couch,Keith,2017,,couch-001kei,,,2010,2017,pitcher,one
5454,William Cuevas,BOS,Cuevas,William,2017,13331,cuevas001wil,2016,2018,2009,2024,pitcher,one
2255,Jacob Dahlstrand,BOS,Dahlstrand,Jacob,2017,,dahlst001jac,,,2010,2017,pitcher,one
4644,Roman Mendez,BOS,Méndez,Román,2017,10307,mendez001rom,2014,2015,2008,2024,pitcher,one
1228,Dan Butler,BOS,Butler,Dan,2017,9968,butler001dan,2014,2018,2009,2018,batter,one
211,Ali Solis,BOS,Solís,Alí,2017,8848,solis-001rom,2012,2014,2006,2024,batter,one
1394,David Sopilka,BOS,Sopilka,David,2017,,sopilk001dav,,,2010,2018,batter,one
1079,Cody Decker,BOS,Decker,Cody,2017,9665,decker001cod,2015,2015,2009,2019,batter,one
4068,Nate Freiman,BOS,Freiman,Nate,2017,6582,freima001nat,2013,2014,2009,2017,batter,one
985,Chris Marrero,BOS,Marrero,Chris,2017,2852,marrer002chr,2011,2017,2006,2019,batter,one
970,Chris Dominguez,BOS,Dominguez,Chris,2017,9718,doming001chr,2014,2015,2009,2019,batter,one
3026,Jose Vinicio,BOS,Vinicio,Jose,2017,,vinici001jos,,,2010,2018,batter,one
623,Brennan Boesch,BOS,Boesch,Brennan,2017,914,boesch001bre,2010,2015,2006,2016,batter,one
4738,Ryan LaMarre,BOS,LaMarre,Ryan,2017,10700,lamarr001rya,2015,2021,2010,2023,batter,one
824,Carlos Mesa,BOS,Mesa,Carlos,2017,,mesa--002car,,,2006,2016,batter,one
2118,Henry Ramos,BOS,Ramos,Henry,2017,11481,ramos-001hen,2021,2023,2010,2024,batter,one
4425,Rainel Rosario,BOS,Rosario,Rainel,2017,,rosari001rai,,,2006,2024,batter,one
287,Andury Acevedo,CHC,Acevedo,Andury,2017,,aceved001and,,,2007,2019,pitcher,one
1909,Frank Batista,CHC,Batista,Frank,2017,,batist003fra,,,2009,2017,pitcher,one
1094,Cole Brocker,CHC,Brocker,Cole,2017,,,,,,,pitcher,zero
12,Aaron Crow,CHC,Crow,Aaron,2017,10149,crow--001aar,2011,2014,2008,2018,pitcher,one
5000,Stephen Fife,CHC,Fife,Stephen,2017,8077,fife--001ste,2012,2014,2008,2018,pitcher,one
3931,Miguel Mejia,CHC,Mejia,Miguel,2017,,mejia-002mig,,,2009,2023,pitcher,one
4992,Starling Peralta,CHC,Peralta,Starling,2017,,,,,,,pitcher,zero
1559,Drew Rucinski,CHC,Rucinski,Drew,2017,12499,rucins000dre,2014,2023,2011,2023,pitcher,one
4849,Scott Barnes,CHC,Barnes,Scott,2017,8718,barnes001sco,2012,2013,2008,2018,pitcher,one
675,Brian Matusz,CHC,Matusz,Brian,2017,2646,matusz001bri,2009,2016,2008,2019,pitcher,one
2713,Joe Thatcher,CHC,Thatcher,Joe,2017,4620,thatch001jos,2007,2015,2004,2016,pitcher,one
5133,Tim Federowicz,CHC,Federowicz,Tim,2017,8609,federo001tim,2011,2019,2008,2021,batter,one
1363,David Freitas,CHC,Freitas,David,2017,10619,freita001dav,2017,2019,2010,2023,batter,one
3482,Logan Watkins,CHC,Watkins,Logan,2017,4875,watkin001vin,2013,2014,2008,2019,batter,one
3345,Kris Negron,CHC,Negron,Kris,2017,,,,,,,batter,zero
3409,Lane Adams,CHC,Adams,Lane,2017,10767,adams-001lan,2014,2018,2009,2021,batter,one
3253,Kelly Dugan,CHC,Dugan,Kelly,2017,,dugan-001kel,,,2009,2024,batter,one
3765,Matt Murton,CHC,Murton,Matt,2017,6307,murton001mat,2005,2009,2003,2017,batter,one
3140,Juan Perez,CHC,Pérez,Juan,2017,5371,perez-014jua,2013,2015,2009,2023,batter,one
3921,Miguel Chalas,CHW,Chalas,Miguel,2017,,chalas001mig,,,2010,2017,pitcher,one
3737,Matt Heidenreich,CHW,Heidenreich,Matt,2017,,heiden001mat,,,2009,2016,pitcher,one
2773,John Holdzkom,CHW,Holdzkom,John,2017,9392,holdzk001joh,2014,2014,2006,2018,pitcher,one
1106,Colin Kleven,CHW,Kleven,Colin,2017,,kleven001col,,,2010,2016,pitcher,one
1812,Euclides Leyer,CHW,Leyer,Euclides,2017,,leyer-001euc,,,2010,2023,pitcher,one
3237,Kameron Loe,CHW,Loe,Kameron,2017,4422,loe---001kam,2004,2013,2002,2017,pitcher,one
3752,Matt Lollis,CHW,Lollis,Matt,2017,,lollis001mat,,,2009,2016,pitcher,one
3036,Joselo Pinales,CHW,Pinales,Joselo,2017,,pinale002jos,,,2013,2016,pitcher,one
