internal_id,player_name,first_name_lower,last_name_lower,team,fa_class,position,normed_position,minor_league_level
2255,Jacob Dahlstrand,jacob,dahlstrand,BOS,2017-01-01,RHP,pitcher,AA
4644,Roman Mendez,roman,mendez,BOS,2017-01-01,RHP,pitcher,AAA
1228,Dan Butler,dan,butler,BOS,2017-01-01,C,batter,AAA
211,Ali Solis,ali,solis,BOS,2017-01-01,C,batter,AAA
1394,David Sopilka,david,sopilka,BOS,2017-01-01,C,batter,Hi A
1079,Cody Decker,cody,decker,BOS,2017-01-01,1B,batter,AA
4068,Nate Freiman,nate,freiman,BOS,2017-01-01,1B,batter,AA
985,Chris Marrero,chris,marrero,BOS,2017-01-01,1B,batter,AAA
970,Chris Dominguez,chris,dominguez,BOS,2017-01-01,3B,batter,AAA
3026,Jose Vinicio,jose,vinicio,BOS,2017-01-01,SS,batter,AAA
623,Brennan Boesch,brennan,boesch,BOS,2017-01-01,OF,batter,AAA
4738,Ryan LaMarre,ryan,lamarre,BOS,2017-01-01,OF,batter,AAA
824,Carlos Mesa,carlos,mesa,BOS,2017-01-01,OF,batter,Hi A
2118,Henry Ramos,henry,ramos,BOS,2017-01-01,OF,batter,AA
4425,Rainel Rosario,rainel,rosario,BOS,2017-01-01,OF,batter,AA
287,Andury Acevedo,andury,acevedo,CHC,2017-01-01,RHP,pitcher,AAA
1909,Frank Batista,frank,batista,CHC,2017-01-01,RHP,pitcher,AAA
1094,Cole Brocker,cole,brocker,CHC,2017-01-01,RHP,pitcher,AA
12,Aaron Crow,aaron,crow,CHC,2017-01-01,RHP,pitcher,AAA
5000,Stephen Fife,stephen,fife,CHC,2017-01-01,RHP,pitcher,AAA
3931,Miguel Mejia,miguel,mejia,CHC,2017-01-01,RHP,pitcher,AAA
4992,Starling Peralta,starling,peralta,CHC,2017-01-01,RHP,pitcher,AA
1559,Drew Rucinski,drew,rucinski,CHC,2017-01-01,RHP,pitcher,AAA
4849,Scott Barnes,scott,barnes,CHC,2017-01-01,LHP,pitcher,AAA
675,Brian Matusz,brian,matusz,CHC,2017-01-01,LHP,pitcher,AAA
2713,Joe Thatcher,joe,thatcher,CHC,2017-01-01,LHP,pitcher,AAA
5133,Tim Federowicz,tim,federowicz,CHC,2017-01-01,C,batter,AAA
1363,David Freitas,david,freitas,CHC,2017-01-01,C,batter,AA
3482,Logan Watkins,logan,watkins,CHC,2017-01-01,2B,batter,AAA
3345,Kris Negron,kris,negron,CHC,2017-01-01,SS,batter,AAA
3409,Lane Adams,lane,adams,CHC,2017-01-01,OF,batter,AAA
3253,Kelly Dugan,kelly,dugan,CHC,2017-01-01,OF,batter,AA
3765,Matt Murton,matt,murton,CHC,2017-01-01,OF,batter,AAA
3140,Juan Perez,juan,perez,CHC,2017-01-01,OF,batter,AAA
3921,Miguel Chalas,miguel,chalas,CHW,2017-01-01,RHP,pitcher,AAA
3737,Matt Heidenreich,matt,heidenreich,CHW,2017-01-01,RHP,pitcher,AA
2773,John Holdzkom,john,holdzkom,CHW,2017-01-01,RHP,pitcher,AAA
1106,Colin Kleven,colin,kleven,CHW,2017-01-01,RHP,pitcher,AA
1812,Euclides Leyer,euclides,leyer,CHW,2017-01-01,RHP,pitcher,AA
3237,Kameron Loe,kameron,loe,CHW,2017-01-01,RHP,pitcher,AAA
3752,Matt Lollis,matt,lollis,CHW,2017-01-01,RHP,pitcher,AAA
3036,Joselo Pinales,joselo,pinales,CHW,2017-01-01,RHP,pitcher,DSL
4365,Peter Tago,peter,tago,CHW,2017-01-01,RHP,pitcher,AA
2267,Jacob Turner,jacob,turner,CHW,2017-01-01,RHP,pitcher,AAA
1012,Chris Volstad,chris,volstad,CHW,2017-01-01,RHP,pitcher,AAA
5557,Yojensy Arias,yojensy,arias,CHW,2017-01-01,LHP,pitcher,DSL
637,Brett Hayes,brett,hayes,CHW,2017-01-01,C,batter,AAA
3644,Marcus Lemon,marcus,lemon,CHW,2017-01-01,SS,batter,AA
295,Andy Parrino,andy,parrino,CHW,2017-01-01,SS,batter,AAA
2426,Jason Bourgeois,jason,bourgeois,CHW,2017-01-01,OF,batter,AAA
5184,Tony Campana,tony,campana,CHW,2017-01-01,OF,batter,AAA
4985,Slade Heathcott,slade,heathcott,CHW,2017-01-01,OF,batter,AAA
1813,Eudy Pina,eudy,pina,CHW,2017-01-01,OF,batter,AA
3074,Josh Richmond,josh,richmond,CHW,2017-01-01,OF,batter,AA
2206,J.B. Shuck,j.b.,shuck,CHW,2017-01-01,OF,batter,AAA
770,Caleb Cotham,caleb,cotham,CIN,2017-01-01,RHP,pitcher,AAA
1405,Dayan Diaz,dayan,diaz,CIN,2017-01-01,RHP,pitcher,AAA
1543,Drew Hayes,drew,hayes,CIN,2017-01-01,RHP,pitcher,AAA
3755,Matt Magill,matt,magill,CIN,2017-01-01,RHP,pitcher,AAA
5144,Tim Melville,tim,melville,CIN,2017-01-01,RHP,pitcher,AAA
3,A.J. Morris,a.j.,morris,CIN,2017-01-01,RHP,pitcher,AAA
1721,El’Hajj Muhammad,el’hajj,muhammad,CIN,2017-01-01,RHP,pitcher,AA
3315,Kevin Shackelford,kevin,shackelford,CIN,2017-01-01,RHP,pitcher,AAA
4351,Pedro Villarreal,pedro,villarreal,CIN,2017-01-01,RHP,pitcher,AAA
956,Chris Berset,chris,berset,CIN,2017-01-01,C,batter,AAA
4414,Rafael Lopez,rafael,lopez,CIN,2017-01-01,C,batter,AAA
4649,Ronald Bueno,ronald,bueno,CIN,2017-01-01,2B,batter,AA
4470,Ray Chang,ray,chang,CIN,2017-01-01,2B,batter,AA
2127,Hernan Iribarren,hernan,iribarren,CIN,2017-01-01,2B,batter,AAA
2565,Jermaine Curtis,jermaine,curtis,CIN,2017-01-01,3B,batter,AAA
858,Carlos Triunfel,carlos,triunfel,CIN,2017-01-01,SS,batter,AAA
3118,Juan Duran,juan,duran,CIN,2017-01-01,OF,batter,Hi A
1515,Donald Lutz,donald,lutz,CIN,2017-01-01,OF,batter,AAA
5571,Yorman Rodriguez,yorman,rodriguez,CIN,2017-01-01,OF,batter,AAA
3393,Kyle Waldrop,kyle,waldrop,CIN,2017-01-01,OF,batter,AAA
5241,Trevor Foss,trevor,foss,CLE,2017-01-01,RHP,pitcher,Lo A
4950,Shawn Haviland,shawn,haviland,CLE,2017-01-01,RHP,pitcher,AAA
1176,Craig Stammen,craig,stammen,CLE,2017-01-01,RHP,pitcher,AAA
880,Casey Weathers,casey,weathers,CLE,2017-01-01,RHP,pitcher,AA
5054,T.J. House,t.j.,house,CLE,2017-01-01,LHP,pitcher,AAA
3586,Luke Carlin,luke,carlin,CLE,2017-01-01,C,batter,SS
164,Alex Monsalve,alex,monsalve,CLE,2017-01-01,C,batter,AA
48,Adam Moore,adam,moore,CLE,2017-01-01,C,batter,AAA
2060,Guillermo Quiroz,guillermo,quiroz,CLE,2017-01-01,C,batter,AAA
4227,Omir Santos,omir,santos,CLE,2017-01-01,C,batter,SS
3217,Justin Toole,justin,toole,CLE,2017-01-01,2B,batter,AA
3862,Michael Choice,michael,choice,CLE,2017-01-01,OF,batter,AAA
1015,Christian Bergman,christian,bergman,COL,2017-01-01,RHP,pitcher,AAA
4977,Simon Castro,simon,castro,COL,2017-01-01,RHP,pitcher,AAA
4097,Nelson Gonzalez,nelson,gonzalez,COL,2017-01-01,RHP,pitcher,AAA
2753,Johendi Jiminian,johendi,jiminian,COL,2017-01-01,RHP,pitcher,AAA
5549,Yoely Bello,yoely,bello,COL,2017-01-01,LHP,pitcher,Hi A
810,Carlos Hernandez,carlos,hernandez,COL,2017-01-01,LHP,pitcher,AA
5322,Tyler Matzek,tyler,matzek,COL,2017-01-01,LHP,pitcher,AA
4290,Pat McCoy,pat,mccoy,COL,2017-01-01,LHP,pitcher,AAA
2249,Jackson Williams,jackson,williams,COL,2017-01-01,C,batter,AA
469,Ben Paulsen,ben,paulsen,COL,2017-01-01,1B,batter,AAA
886,Cesar Galvez,cesar,galvez,COL,2017-01-01,2B,batter,AAA
4420,Rafael Ynoa,rafael,ynoa,COL,2017-01-01,2B,batter,AAA
991,Chris Nelson,chris,nelson,COL,2017-01-01,3B,batter,AAA
2499,Jeff Bianchi,jeff,bianchi,COL,2017-01-01,SS,batter,AAA
5480,Wilson Soriano,wilson,soriano,COL,2017-01-01,SS,batter,AA
2739,Joey Wong,joey,wong,COL,2017-01-01,SS,batter,AAA
150,Alex Castellanos,alex,castellanos,COL,2017-01-01,OF,batter,AA
4671,Rosell Herrera,rosell,herrera,COL,2017-01-01,OF,batter,AA
5568,Yordy Cabrera,yordy,cabrera,DET,2017-01-01,RHP,pitcher,Hi A
1640,Edgar de la Rosa,edgar,de la rosa,DET,2017-01-01,RHP,pitcher,Hi A
4384,Preston Guilmet,preston,guilmet,DET,2017-01-01,RHP,pitcher,AAA
1381,David Martinez,david,martinez,DET,2017-01-01,RHP,pitcher,AA
1586,Dustin Molleken,dustin,molleken,DET,2017-01-01,RHP,pitcher,AAA
5100,Thad Weber,thad,weber,DET,2017-01-01,RHP,pitcher,AA
1533,Drake Britton,drake,britton,DET,2017-01-01,LHP,pitcher,AAA
890,Cesar Ramos,cesar,ramos,DET,2017-01-01,LHP,pitcher,AAA
5183,Tommy Shirley,tommy,shirley,DET,2017-01-01,LHP,pitcher,AA
903,Chad Huffman,chad,huffman,DET,2017-01-01,1B,batter,AAA
5283,Tyler Bortnick,tyler,bortnick,DET,2017-01-01,2B,batter,Hi A
1154,Corey Jones,corey,jones,DET,2017-01-01,2B,batter,AA
2890,Jordany Valdespin,jordany,valdespin,DET,2017-01-01,2B,batter,AAA
4330,Pedro Ciriaco,pedro,ciriaco,DET,2017-01-01,SS,batter,AAA
5496,Wynton Bernard,wynton,bernard,DET,2017-01-01,OF,batter,AA
154,Alex Fernandez Jr.,alex,fernandez jr.,DET,2017-01-01,OF,batter,R
893,Cesar Valdez,cesar,valdez,HOU,2017-01-01,RHP,pitcher,AAA
1820,Eury de la Rosa,eury,de la rosa,HOU,2017-01-01,LHP,pitcher,AAA
1823,Evan Grills,evan,grills,HOU,2017-01-01,LHP,pitcher,AAA
4609,Roberto Pena,roberto,pena,HOU,2017-01-01,C,batter,AA
913,Chan Moon,chan,moon,HOU,2017-01-01,2B,batter,AAA
1062,Clayton Mortensen,clayton,mortensen,KCR,2017-01-01,RHP,pitcher,AAA
401,Aroni Nina,aroni,nina,KCR,2017-01-01,RHP,pitcher,AA
475,Benino Pruneda,benino,pruneda,KCR,2017-01-01,RHP,pitcher,AAA
4169,Nick Tepesch,nick,tepesch,KCR,2017-01-01,RHP,pitcher,AAA
2775,John Lannan,john,lannan,KCR,2017-01-01,LHP,pitcher,AAA
446,Balbino Fuenmayor,balbino,fuenmayor,KCR,2017-01-01,1B,batter,AAA
2172,Irving Falu,irving,falu,KCR,2017-01-01,2B,batter,AAA
316,Angel Franco,angel,franco,KCR,2017-01-01,2B,batter,AAA
5030,Steve Tolleson,steve,tolleson,KCR,2017-01-01,2B,batter,AAA
4234,Orlando Calixte,orlando,calixte,KCR,2017-01-01,SS,batter,AAA
1597,Dusty Coleman,dusty,coleman,KCR,2017-01-01,SS,batter,AAA
808,Carlos Garcia,carlos,garcia,KCR,2017-01-01,OF,batter,AA
1979,Geoff Broussard,geoff,broussard,LAA,2017-01-01,RHP,pitcher,AAA
2951,Jose Feliz,jose,feliz,LAA,2017-01-01,RHP,pitcher,DSL
4069,Nate Fury,nate,fury,LAA,2017-01-01,RHP,pitcher,AA
1199,D.J. Johnson,d.j.,johnson,LAA,2017-01-01,RHP,pitcher,AA
3375,Kyle Kendrick,kyle,kendrick,LAA,2017-01-01,RHP,pitcher,AAA
5580,Yunesky Maya,yunesky,maya,LAA,2017-01-01,RHP,pitcher,AAA
5627,Zach Nuding,zach,nuding,LAA,2017-01-01,RHP,pitcher,AA
2646,Jhonny Polanco,jhonny,polanco,LAA,2017-01-01,RHP,pitcher,Lo A
3079,Josh Roenicke,josh,roenicke,LAA,2017-01-01,RHP,pitcher,AAA
1819,Eury Sanchez,eury,sanchez,LAA,2017-01-01,RHP,pitcher,Lo A
1398,David Trexler,david,trexler,LAA,2017-01-01,RHP,pitcher,R
982,Chris Jones,chris,jones,LAA,2017-01-01,LHP,pitcher,AAA
2989,Jose Molina,jose,molina,LAA,2017-01-01,LHP,pitcher,AA
643,Brett Oberholtzer,brett,oberholtzer,LAA,2017-01-01,LHP,pitcher,AAA
1673,Edward Paredes,edward,paredes,LAA,2017-01-01,LHP,pitcher,AA
5401,Webster Rivas,webster,rivas,LAA,2017-01-01,C,batter,Hi A
4766,Ryan Scott,ryan,scott,LAA,2017-01-01,C,batter,Lo A
334,Angelo Amendolare,angelo,amendolare,LAA,2017-01-01,2B,batter,Hi A
4882,Sean Coyle,sean,coyle,LAA,2017-01-01,2B,batter,AA
360,Anthony Phillips,anthony,phillips,LAA,2017-01-01,SS,batter,AA
432,Austin Cousino,austin,cousino,LAA,2017-01-01,OF,batter,AAA
2229,Jabari Henry,jabari,henry,LAA,2017-01-01,OF,batter,AA
3462,Logan Bawcom,logan,bawcom,LAD,2017-01-01,RHP,pitcher,AAA
3454,Lisalverto Bonilla,lisalverto,bonilla,LAD,2017-01-01,RHP,pitcher,AAA
1261,Daniel Corcino,daniel,corcino,LAD,2017-01-01,RHP,pitcher,AA
199,Alfredo Figaro,alfredo,figaro,LAD,2017-01-01,RHP,pitcher,AAA
4915,Seth Frankoff,seth,frankoff,LAD,2017-01-01,RHP,pitcher,AAA
1842,Felipe Gonzalez,felipe,gonzalez,LAD,2017-01-01,RHP,pitcher,Hi A
2554,Jeremy Kehrt,jeremy,kehrt,LAD,2017-01-01,RHP,pitcher,AA
3056,Josh Kimborowicz,josh,kimborowicz,LAD,2017-01-01,RHP,pitcher,R
4802,Sam LeCure,sam,lecure,LAD,2017-01-01,RHP,pitcher,AAA
2063,Gus Schlosser,gus,schlosser,LAD,2017-01-01,RHP,pitcher,AA
5150,Tim Shibuya,tim,shibuya,LAD,2017-01-01,RHP,pitcher,Hi A
148,Alex Burgos,alex,burgos,LAD,2017-01-01,LHP,pitcher,Hi A
2507,Jeff Malm,jeff,malm,LAD,2017-01-01,LHP,pitcher,AA
2884,Jordan Schafer,jordan,schafer,LAD,2017-01-01,LHP,pitcher,AAA
4962,Shawn Zarraga,shawn,zarraga,LAD,2017-01-01,C,batter,AAA
3413,Lars Anderson,lars,anderson,LAD,2017-01-01,1B,batter,AA
3099,Josmar Cordero,josmar,cordero,LAD,2017-01-01,1B,batter,AAA
1217,Dalton DiNatale,dalton,dinatale,LAD,2017-01-01,1B,batter,AA
583,Brandon Hicks,brandon,hicks,LAD,2017-01-01,2B,batter,AAA
4188,Noah Perio,noah,perio,LAD,2017-01-01,2B,batter,Hi A
5642,Zach Walters,zach,walters,LAD,2017-01-01,3B,batter,AAA
1549,Drew Maggi,drew,maggi,LAD,2017-01-01,SS,batter,AAA
1152,Corey Brown,corey,brown,LAD,2017-01-01,OF,batter,AAA
155,Alex Hassan,alex,hassan,LAD,2017-01-01,OF,batter,AAA
4552,Rico Noel,rico,noel,LAD,2017-01-01,OF,batter,AAA
5453,Will Venable,will,venable,LAD,2017-01-01,OF,batter,AAA
1601,Dylan Axelrod,dylan,axelrod,MIA,2017-01-01,RHP,pitcher,AAA
4712,Ryan Chaffee,ryan,chaffee,MIA,2017-01-01,RHP,pitcher,AAA
3267,Kendry Flores,kendry,flores,MIA,2017-01-01,RHP,pitcher,AAA
5256,Trey Lambert,trey,lambert,MIA,2017-01-01,RHP,pitcher,Lo A
3154,Juancito Martinez,juancito,martinez,MIA,2017-01-01,RHP,pitcher,Hi A
407,Asher Wojciechowski,asher,wojciechowski,MIA,2017-01-01,RHP,pitcher,AAA
1165,Cory Luebke,cory,luebke,MIA,2017-01-01,LHP,pitcher,AAA
3797,Matt Tracy,matt,tracy,MIA,2017-01-01,LHP,pitcher,AA
3024,Jose Velez,jose,velez,MIA,2017-01-01,LHP,pitcher,Hi A
1880,Francisco Arcia,francisco,arcia,MIA,2017-01-01,C,batter,AAA
5005,Stephen McGee,stephen,mcgee,MIA,2017-01-01,C,batter,AAA
81,Adrian Nieto,adrian,nieto,MIA,2017-01-01,C,batter,AAA
965,Chris Curley,chris,curley,MIA,2017-01-01,1B,batter,AA
1312,Danny Muno,danny,muno,MIA,2017-01-01,2B,batter,AA
2376,James Roberts,james,roberts,MIA,2017-01-01,2B,batter,AA
1966,Garrett Weber,garrett,weber,MIA,2017-01-01,2B,batter,AA
5052,Sutton Whiting,sutton,whiting,MIA,2017-01-01,2B,batter,SS
1706,Elliot Soto,elliot,soto,MIA,2017-01-01,SS,batter,AAA
4663,Ronnie Mitchell,ronnie,mitchell,MIA,2017-01-01,OF,batter,AA
3179,Junior Sosa,junior,sosa,MIA,2017-01-01,OF,batter,Hi A
3273,Kenny Wilson,kenny,wilson,MIA,2017-01-01,OF,batter,AA
5541,Yhonathan Barrios,yhonathan,barrios,MIL,2017-01-01,RHP,pitcher,AAA
