internal_id,player_name,first_name,last_name,has_suffix,team,fa_class,position,normed_position,minor_league_level
2255,Jacob Dahlstrand,Jacob,Dahlstrand,false,BOS,2017,RHP,pitcher,AA
4644,Roman Mendez,Roman,Mendez,false,BOS,2017,RHP,pitcher,AAA
1228,Dan Butler,Dan,Butler,false,BOS,2017,C,batter,AAA
211,Ali Solis,Ali,Solis,false,BOS,2017,C,batter,AAA
1394,David Sopilka,David,Sopilka,false,BOS,2017,C,batter,Hi A
1079,Cody Decker,Cody,Decker,false,BOS,2017,1B,batter,AA
4068,Nate Freiman,Nate,Freiman,false,BOS,2017,1B,batter,AA
985,Chris Marrero,Chris,Marrero,false,BOS,2017,1B,batter,AAA
970,Chris Dominguez,Chris,Dominguez,false,BOS,2017,3B,batter,AAA
3026,Jose Vinicio,Jose,Vinicio,false,BOS,2017,SS,batter,AAA
623,Brennan Boesch,Brennan,Boesch,false,BOS,2017,OF,batter,AAA
4738,Ryan LaMarre,Ryan,LaMarre,false,BOS,2017,OF,batter,AAA
824,Carlos Mesa,Carlos,Mesa,false,BOS,2017,OF,batter,Hi A
2118,Henry Ramos,Henry,Ramos,false,BOS,2017,OF,batter,AA
4425,Rainel Rosario,Rainel,Rosario,false,BOS,2017,OF,batter,AA
287,Andury Acevedo,Andury,Acevedo,false,CHC,2017,RHP,pitcher,AAA
1909,Frank Batista,Frank,Batista,false,CHC,2017,RHP,pitcher,AAA
1094,Cole Brocker,Cole,Brocker,false,CHC,2017,RHP,pitcher,AA
12,Aaron Crow,Aaron,Crow,false,CHC,2017,RHP,pitcher,AAA
5000,Stephen Fife,Stephen,Fife,false,CHC,2017,RHP,pitcher,AAA
3931,Miguel Mejia,Miguel,Mejia,false,CHC,2017,RHP,pitcher,AAA
4992,Starling Peralta,Starling,Peralta,false,CHC,2017,RHP,pitcher,AA
1559,Drew Rucinski,Drew,Rucinski,false,CHC,2017,RHP,pitcher,AAA
4849,Scott Barnes,Scott,Barnes,false,CHC,2017,LHP,pitcher,AAA
675,Brian Matusz,Brian,Matusz,false,CHC,2017,LHP,pitcher,AAA
2713,Joe Thatcher,Joe,Thatcher,false,CHC,2017,LHP,pitcher,AAA
5133,Tim Federowicz,Tim,Federowicz,false,CHC,2017,C,batter,AAA
1363,David Freitas,David,Freitas,false,CHC,2017,C,batter,AA
3482,Logan Watkins,Logan,Watkins,false,CHC,2017,2B,batter,AAA
3345,Kris Negron,Kris,Negron,false,CHC,2017,SS,batter,AAA
3409,Lane Adams,Lane,Adams,false,CHC,2017,OF,batter,AAA
3253,Kelly Dugan,Kelly,Dugan,false,CHC,2017,OF,batter,AA
