player_name,team,fa_class,position,minor_league_level,internal_id,first_name_lower,last_name_lower,normed_position
Matt Spring,Boston Red Sox,2013,C,AA,1150,matt,spring,batter
Mark Hamilton,Boston Red Sox,2013,1B,AAA,1112,mark,hamilton,batter
Brandon Snyder,Boston Red Sox,2013,1B,AAA,187,brandon,snyder,batter
Ryan Dent,Boston Red Sox,2013,2B,AA,1444,ryan,dent,batter
Justin Henry,Boston Red Sox,2013,2B,AAA,966,justin,henry,batter
Drew Sutton,Boston Red Sox,2013,2B,AAA,478,drew,sutton,batter
Tony Thomas,Boston Red Sox,2013,2B,AAA,1588,tony,thomas,batter
Mario Martinez,Boston Red Sox,2013,3B,Lo A,1107,mario,martinez,batter
Jonathan Diaz,Boston Red Sox,2013,SS,AAA,841,jonathan,diaz,batter
Vladimir Frias,Boston Red Sox,2013,SS,Hi A,1637,vladimir,frias,batter
Ronald Bermudez,Boston Red Sox,2013,OF,AA,1417,ronald,bermudez,batter
Quintin Berry,Boston Red Sox,2013,OF,AAA,1333,quintin,berry,batter
Mitch Maier,Boston Red Sox,2013,OF,AAA,1233,mitch,maier,batter
Alex Burnett,Chicago Cubs,2013,RHP,AAA,45,alex,burnett,pitcher
Yeiper Castillo,Chicago Cubs,2013,RHP,AA,1674,yeiper,castillo,pitcher
Jaye Chapman,Chicago Cubs,2013,RHP,AAA,728,jaye,chapman,pitcher
Johermyn Chavez,Chicago Cubs,2013,RHP,R,820,johermyn,chavez,pitcher
Rafael Dolis,Chicago Cubs,2013,RHP,AAA,1341,rafael,dolis,pitcher
Zach Putnam,Chicago Cubs,2013,RHP,AAA,1691,zach,putnam,pitcher
Henry Rodriguez,Chicago Cubs,2013,RHP,AAA,640,henry,rodriguez,pitcher
Casey Weathers*,Chicago Cubs,2013,RHP,AA,287,casey,weathers,pitcher
Jeffry Antigua,Chicago Cubs,2013,LHP,AAA,739,jeffry,antigua,pitcher
Kyler Burke,Chicago Cubs,2013,LHP,HI A,1025,kyler,burke,pitcher
Nathan Maldonado,Chicago Cubs,2013,C,Lo A,1255,nathan,maldonado,batter
Brad Nelson,Chicago Cubs,2013,1B,AAA,170,brad,nelson,batter
Nate Samson,Chicago Cubs,2013,2B,AA,1248,nate,samson,batter
Edwin Maysonet,Chicago Cubs,2013,SS,AAA,522,edwin,maysonet,batter
Tim Torres,Chicago Cubs,2013,SS,AAA,1574,tim,torres,batter
Cole Gillespie,Chicago Cubs,2013,OF,AAA,353,cole,gillespie,batter
Ty Wright,Chicago Cubs,2013,OF,AAA,1610,ty,wright,batter
Jason Berken,Chicago White Sox,2013,RHP,AAA,707,jason,berken,pitcher
Scott Carroll,Chicago White Sox,2013,RHP,AA,1478,scott,carroll,pitcher
Simon Castro,Chicago White Sox,2013,RHP,AAA,1525,simon,castro,pitcher
Johansel Delgado,Chicago White Sox,2013,RHP,DSL,819,johansel,delgado,pitcher
Jhan Marinez,Chicago White Sox,2013,RHP,AAA,780,jhan,marinez,pitcher
Travis Ishikawa,Chicago White Sox,2013,1B,AAA,1596,travis,ishikawa,batter
Steve Tolleson,Chicago White Sox,2013,SS,AAA,1542,steve,tolleson,batter
Jimmy Gallagher,Chicago White Sox,2013,OF,AAA,794,jimmy,gallagher,batter
Trevor Bell,Cincinnati Reds,2013,RHP,AAA,1605,trevor,bell,pitcher
Parker Frazier,Cincinnati Reds,2013,RHP,AA,1299,parker,frazier,pitcher
Yohan Pino,Cincinnati Reds,2013,RHP,AAA,1677,yohan,pino,pitcher
Kanekoa Texeira,Cincinnati Reds,2013,RHP,AAA,981,kanekoa,texeira,pitcher
Loek Van Mil,Cincinnati Reds,2013,RHP,AAA,1050,loek,van mil,pitcher
Kevin Whelan,Cincinnati Reds,2013,RHP,AAA,1003,kevin,whelan,pitcher
Lee Hyde,Cincinnati Reds,2013,LHP,AA,1037,lee,hyde,pitcher
Nevin Ashley,Cincinnati Reds,2013,C,AAA,1262,nevin,ashley,batter
Matt Kennelly,Cincinnati Reds,2013,C,AAA,1140,matt,kennelly,batter
Mike Hessman,Cincinnati Reds,2013,1B,AAA,1210,mike,hessman,batter
Jason Donald,Cincinnati Reds,2013,2B,AAA,711,jason,donald,batter
Corey Wimberly,Cincinnati Reds,2013,2B,AA,363,corey,wimberly,batter
Emmanuel Burriss,Cincinnati Reds,2013,SS,AAA,534,emmanuel,burriss,batter
Denis Phipps,Cincinnati Reds,2013,OF,AAA,443,denis,phipps,batter
Brandon Short,Cincinnati Reds,2013,OF,AA,185,brandon,short,batter
Rob Bryson,Cleveland Indians,2013,RHP,AA,1395,rob,bryson,pitcher
Paolo Espino,Cleveland Indians,2013,RHP,AAA,1298,paolo,espino,pitcher
Jose Flores,Cleveland Indians,2013,RHP,AA,876,jose,flores,pitcher
Jerry Gil,Cleveland Indians,2013,RHP,AAA,762,jerry,gil,pitcher
Francisco Jimenez,Cleveland Indians,2013,LHP,AA,577,francisco,jimenez,pitcher
J.C. Romero,Cleveland Indians,2013,LHP,AAA,661,j.c.,romero,pitcher
Matt Colantonio,Cleveland Indians,2013,C,AAA,1133,matt,colantonio,batter
Matt LaPorta,Cleveland Indians,2013,1B,AAA,1141,matt,laporta,batter
Luis Hernandez,Cleveland Indians,2013,2B,AAA,1065,luis,hernandez,batter
Nate Spears,Cleveland Indians,2013,2B,AAA,1250,nate,spears,batter
Juan Diaz,Cleveland Indians,2013,SS,AAA,935,juan,diaz,batter
Ezequiel Carrera,Cleveland Indians,2013,OF,AAA,556,ezequiel,carrera,batter
Bo Greenwell,Cleveland Indians,2013,OF,Hi A,160,bo,greenwell,batter
Jeremy Hermida,Cleveland Indians,2013,OF,AAA,752,jeremy,hermida,batter
Cedric Hunter,Cleveland Indians,2013,OF,AA,289,cedric,hunter,batter
Bobby Cassevah,Colorado Rockies,2013,RHP,AAA,163,bobby,cassevah,pitcher
Roman Colon,Colorado Rockies,2013,RHP,AAA,1415,roman,colon,pitcher
Edgmer Escalona,Colorado Rockies,2013,RHP,AAA,509,edgmer,escalona,pitcher
Armando Galarraga,Colorado Rockies,2013,RHP,AAA,118,armando,galarraga,pitcher
Sean Gallagher,Colorado Rockies,2013,RHP,AAA,1495,sean,gallagher,pitcher
Juan Gonzalez,Colorado Rockies,2013,RHP,AA,938,juan,gonzalez,pitcher
Tim Gustafson,Colorado Rockies,2013,RHP,AA,1570,tim,gustafson,pitcher
Michael Marbry,Colorado Rockies,2013,RHP,AA,1180,michael,marbry,pitcher
Vianney Mayo,Colorado Rockies,2013,RHP,SS,1628,vianney,mayo,pitcher
Mike McClendon,Colorado Rockies,2013,RHP,AAA,1216,mike,mcclendon,pitcher
Cory Riordan,Colorado Rockies,2013,RHP,AAA,370,cory,riordan,pitcher
Mike Solbach,Colorado Rockies,2013,RHP,AA,1223,mike,solbach,pitcher
Isaiah Froneberger,Colorado Rockies,2013,LHP,AA,653,isaiah,froneberger,pitcher
Nick Schmidt,Colorado Rockies,2013,LHP,AAA,1273,nick,schmidt,pitcher
Jonathan Vargas,Colorado Rockies,2013,LHP,SS,854,jonathan,vargas,pitcher
Lars Davis,Colorado Rockies,2013,C,AAA,1032,lars,davis,batter
Jose Gonzalez,Colorado Rockies,2013,C,AAA,880,jose,gonzalez,batter
Matt McBride,Colorado Rockies,2013,C,AAA,1145,matt,mcbride,batter
Michael Ramirez,Colorado Rockies,2013,C,Lo A,1182,michael,ramirez,batter
Henry Wrigley,Colorado Rockies,2013,1B,AA,641,henry,wrigley,batter
Niko Gallego,Colorado Rockies,2013,2B,Hi A,1277,niko,gallego,batter
Hernan Iribarren,Colorado Rockies,2013,2B,AAA,642,hernan,iribarren,batter
Reid Brignac,Colorado Rockies,2013,SS,AAA,1374,reid,brignac,batter
Juan Crousset,Colorado Rockies,2013,OF,AA,934,juan,crousset,batter
Xavier Nady,Colorado Rockies,2013,OF,AAA,1669,xavier,nady,batter
Shawn Hill,Detroit Tigers,2013,RHP,AAA,1518,shawn,hill,pitcher
Jair Jurrjens,Detroit Tigers,2013,RHP,AAA,675,jair,jurrjens,pitcher
David Kopp,Detroit Tigers,2013,RHP,AA,432,david,kopp,pitcher
Victor Larez,Detroit Tigers,2013,RHP,AA,1630,victor,larez,pitcher
Jon Link,Detroit Tigers,2013,RHP,AAA,835,jon,link,pitcher
Kelvin Perez,Detroit Tigers,2013,RHP,AA,986,kelvin,perez,pitcher
Justin Souza,Detroit Tigers,2013,RHP,AA,973,justin,souza,pitcher
Jess Todd,Detroit Tigers,2013,RHP,AAA,764,jess,todd,pitcher
Michael Torrealba,Detroit Tigers,2013,RHP,Hi A,1184,michael,torrealba,pitcher
Ramon Garcia,Detroit Tigers,2013,LHP,AA,1356,ramon,garcia,pitcher
Jesus Guzman,Detroit Tigers,2013,LHP,DSL,772,jesus,guzman,pitcher
Matt Hoffman,Detroit Tigers,2013,LHP,AAA,1138,matt,hoffman,pitcher
Pat Misch,Detroit Tigers,2013,LHP,AAA,1304,pat,misch,pitcher
Will Startup,Detroit Tigers,2013,LHP,AA,1657,will,startup,pitcher
